"ISO_A3","country_name","allocation"
"AFG","Afghanistan",423902.05
"ALB","Albania",170889.07
"DZA","Algeria",127278.74
"AGO","Angola",442083.66
"ATG","Antigua and Barbuda",660667.79
"ARG","Argentina",578952.24
"ARM","Armenia",208593.04
"AZE","Azerbaijan",97935.77
"BHS","Bahamas",192782
"BHR","Bahrain",33354.17
"BGD","Bangladesh",253929.34
"BRB","Barbados",203223.28
"BLR","Belarus",57613.22
"BLZ","Belize",1342930.1
"BEN","Benin",357218.62
"BTN","Bhutan",1367579.07
"BOL","Bolivia",571788.47
"BIH","Bosnia-Herzegovina",116918.26
"BWA","Botswana",206528.76
"BRA","Brazil",2810104.73
"BRN","Brunei Darussalam",95351.86
"BFA","Burkino Faso",390967.87
"BDI","Burundi",1322519.41
"CPV","Cabo Verde",1289636.86
"KHM","Cambodia",286449.96
"CMR","Cameroon",895113.24
"CAF","Central African Republic",1471906.28
"TCD","Chad",510972.67
"CHL","Chile",376854.29
"CHN","China",2091415.54
"COL","Colombia",1595250.65
"COM","Comoros",1355656.72
"COG","Congo",430539.97
"COK","Cook Islands",6955.97
"CRI","Costa Rica",325904.71
"CIV","Cote d'Ivoire",817809.97
"CUB","Cuba",307791.64
"PRK","Dem. People's Rep.Korea",285259.72
"COD","Dem. Rep.Congo",950032.06
"DJI","Djibouti",669887.75
"DMA","Dominica",1317093.15
"DOM","Dominican Republic",165627.2
"ECU","Ecuador",921070.04
"EGY","Egypt",120513.71
"SLV","El Salvador",142535.46
"GNQ","Equatorial Guinea",219455.68
"ERI","Eritrea",1360352.41
"SWZ","Eswatini",659058.13
"ETH","Ethiopia",534727.41
"FJI","Fiji",572115.74
"GAB","Gabon",282001.93
"GMB","Gambia",1330134.99
"GEO","Georgia",207815.07
"GHA","Ghana",273395.93
"GRD","Grenada",1311233.97
"GTM","Guatemala",375774.41
"GIN","Guinea",474052.74
"GNB","Guinea Bissau",1360320.53
"GUY","Guyana",237179.7
"HTI","Haiti",388502.69
"HND","Honduras",397800.71
"IND","India",1903441.69
"IDN","Indonesia",3649873.73
"IRN","Iran (Islamic Republic of)",314599.95
"IRQ","Iraq",95574.86
"JAM","Jamaica",300687.18
"JOR","Jordan",94920.54
"KAZ","Kazakhstan",171765.23
"KEN","Kenya",408712.29
"KIR","Kiribati",1347408.54
"KWT","Kuwait",21251.22
"KGZ","Kyrgyzstan",470323.18
"LAO","Lao People's Dem. Rep.",507476.01
"LBN","Lebanon",79008.08
"LSO","Lesotho",1307409.96
"LBR","Liberia",1409635.32
"LBY","Libya",107093.37
"MDG","Madagascar",1479282.18
"MWI","Malawi",530623.67
"MYS","Malaysia",625775.3
"MDV","Maldives",360325.94
"MLI","Mali",415155.95
"MHL","Marshall Islands",1344420.27
"MRT","Mauritania",480163.94
"MUS","Mauritius",204894.27
"MEX","Mexico",2244069.87
"FSM","Micronesia (Fed. States of)",122611.24
"MNG","Mongolia",449027.12
"MNE","Montenegro",346697.95
"MAR","Morocco",126833.5
"MOZ","Mozambique",927957.86
"MMR","Myanmar",661774.98
"NAM","Namibia",384323.12
"NRU","Nauru",1301828.26
"NPL","Nepal",411391.71
"NIC","Nicaragua",465132.83
"NER","Niger",384327.64
"NGA","Nigeria",1041373.6
"NIU","Niue",0
"MKD","North Macedonia",194003.21
"OMN","Oman",130244.24
"PAK","Pakistan",249077.44
"PLW","Palau",1341644.42
"PAN","Panama",361025.11
"PNG","Papua New Guinea",2326237.85
"PRY","Paraguay",167728.77
"PER","Peru",1277784.6
"PHL","Philippines",1148423.05
"QAT","Qatar",13407.28
"MDA","Republic of Moldova",227406.5
"RUS","Russian Federation",815537.03
"RWA","Rwanda",470872.41
"KNA","Saint Kitts and Nevis",1295926.44
"LCA","Saint Lucia",674363.79
"VCT","Saint Vincent & Grenadines",1313746.51
"WSM","Samoa",1320823.12
"STP","Sao Tome y Principe",1359217.82
"SAU","Saudi Arabia",187672.16
"SEN","Senegal",337467.63
"SRB","Serbia",73303.38
"SYC","Seychelles",739538.26
"SLE","Sierra Leone",1372973.21
"SGP","Singapore",17432.99
"SLB","Solomon Islands",1591224.92
"SOM","Somalia",835263.75
"ZAF","South Africa",709885.79
"SSD","South Sudan",443267.59
"LKA","Sri Lanka",335119.19
"PSE","State of Palestine",11129.55
"SDN","Sudan",391455.62
"SUR","Suriname",731533.44
"SYR","Syrian Arab Republic",266684.44
"TJK","Tajikistan",481137.96
"THA","Thailand",354649.27
"TLS","Timor Leste",1353015.3
"TGO","Togo",735820.23
"TON","Tonga",1354073.2
"TTO","Trinidad and Tobago",99639.07
"TUN","Tunisia",128701.64
"TUR","Turkiye",799662.67
"TKM","Turkmenistan",89032.35
"TUV","Tuvalu",1305393.08
"UGA","Uganda",298720.81
"UKR","Ukraine",107458.18
"ARE","United Arab Emirates",35409.96
"TZA","United Rep. Tanzania",869052.85
"URY","Uruguay",86490.2
"UZB","Uzbekistan",108657.59
"VUT","Vanuatu",1535448.82
"VEN","Venezuela",849691.6
"VNM","Viet Nam",525459.48
"YEM","Yemen",600715.28
"ZMB","Zambia",404292.57
"ZWE","Zimbabwe",297572.93
