"scenario","fund","model","approach","model_description","total_allocated","mean_allocation","median_allocation"
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
"$10M - model_1 - approach_1","$10M","model_1","approach_1","Equal weights: A=33.3%, C=33.3%, D=33.3%, B=0%",1e+07,64935.0649350649,43938.2231756512
