"ISO_A3","country_name","allocation"
"AFG","Afghanistan",1022203.87
"ALB","Albania",743634.82
"DZA","Algeria",902040.18
"AGO","Angola",1352669.72
"ATG","Antigua and Barbuda",685016.72
"ARG","Argentina",1943765.72
"ARM","Armenia",704179.4
"AZE","Azerbaijan",784247.93
"BHS","Bahamas",889345.69
"BHR","Bahrain",666473.62
"BGD","Bangladesh",930122.4
"BRB","Barbados",692120.26
"BLR","Belarus",711523.38
"BLZ","Belize",769033.87
"BEN","Benin",872449.66
"BTN","Bhutan",824389.24
"BOL","Bolivia",1772680.55
"BIH","Bosnia-Herzegovina",705182.67
"BWA","Botswana",890511.34
"BRA","Brazil",6958231.61
"BRN","Brunei Darussalam",711192.53
"BFA","Burkino Faso",948241.99
"BDI","Burundi",723196.59
"CPV","Cabo Verde",935406.47
"KHM","Cambodia",930746.93
"CMR","Cameroon",2452812.99
"CAF","Central African Republic",1058681.94
"TCD","Chad",1217742.6
"CHL","Chile",1488071.21
"CHN","China",5346144.24
"COL","Colombia",4217325.15
"COM","Comoros",797614.65
"COG","Congo",1037110.98
"COK","Cook Islands",740020.63
"CRI","Costa Rica",1335421.76
"CIV","Cote d'Ivoire",917309.9
"CUB","Cuba",1316977.57
"PRK","Dem. People's Rep.Korea",710848.06
"COD","Dem. Rep.Congo",2493394.13
"DJI","Djibouti",705722.43
"DMA","Dominica",711010.57
"DOM","Dominican Republic",979476.49
"ECU","Ecuador",2673428.08
"EGY","Egypt",904224.95
"SLV","El Salvador",746798.47
"GNQ","Equatorial Guinea",780294.6
"ERI","Eritrea",808160
"SWZ","Eswatini",681401.82
"ETH","Ethiopia",1560724.28
"FJI","Fiji",968875.24
"GAB","Gabon",1019496.8
"GMB","Gambia",740299.26
"GEO","Georgia",794379.74
"GHA","Ghana",1147620.18
"GRD","Grenada",697852.32
"GTM","Guatemala",1430426.3
"GIN","Guinea",990012.47
"GNB","Guinea Bissau",808088.39
"GUY","Guyana",918837.33
"HTI","Haiti",1039250.64
"HND","Honduras",1253221.34
"IND","India",4921528.26
"IDN","Indonesia",8841192.08
"IRN","Iran (Islamic Republic of)",1348504.35
"IRQ","Iraq",842023.05
"JAM","Jamaica",910999.68
"JOR","Jordan",724741.91
"KAZ","Kazakhstan",1013127.47
"KEN","Kenya",1489080.9
"KIR","Kiribati",779091.3
"KWT","Kuwait",684173.74
"KGZ","Kyrgyzstan",740274.74
"LAO","Lao People's Dem. Rep.",1306434.82
"LBN","Lebanon",695275.67
"LSO","Lesotho",689264.56
"LBR","Liberia",918837.02
"LBY","Libya",817591.6
"MDG","Madagascar",3247505.13
"MWI","Malawi",875694.48
"MYS","Malaysia",2045944.96
"MDV","Maldives",734610.68
"MLI","Mali",1002562.34
"MHL","Marshall Islands",772380.42
"MRT","Mauritania",762374.62
"MUS","Mauritius",820001.96
"MEX","Mexico",5686564.93
"FSM","Micronesia (Fed. States of)",924704.68
"MNG","Mongolia",933811.23
"MNE","Montenegro",704005.64
"MAR","Morocco",885241.01
"MOZ","Mozambique",1285283.03
"MMR","Myanmar",1846041.18
"NAM","Namibia",1098824.99
"NRU","Nauru",676729.46
"NPL","Nepal",1283743.3
"NIC","Nicaragua",969980.61
"NER","Niger",788512.46
"NGA","Nigeria",2968849.82
"NIU","Niue",667330.69
"MKD","North Macedonia",723134.76
"OMN","Oman",916805.66
"PAK","Pakistan",1185313.23
"PLW","Palau",766146.54
"PAN","Panama",1426588.66
"PNG","Papua New Guinea",5551824.8
"PRY","Paraguay",900244.04
"PER","Peru",3499103.66
"PHL","Philippines",3213936.94
"QAT","Qatar",667783
"MDA","Republic of Moldova",677469.1
"RUS","Russian Federation",2479603.45
"RWA","Rwanda",741508.18
"KNA","Saint Kitts and Nevis",663475.46
"LCA","Saint Lucia",715774.5
"VCT","Saint Vincent & Grenadines",703494.86
"WSM","Samoa",719387.13
"STP","Sao Tome y Principe",805611.98
"SAU","Saudi Arabia",1068580.03
"SEN","Senegal",993599.34
"SRB","Serbia",741707.77
"SYC","Seychelles",862139.96
"SLE","Sierra Leone",836503.14
"SGP","Singapore",682598.9
"SLB","Solomon Islands",1326641.61
"SOM","Somalia",1077115.35
"ZAF","South Africa",2232181.25
"SSD","South Sudan",1065694.03
"LKA","Sri Lanka",1325869.3
"PSE","State of Palestine",703804.46
"SDN","Sudan",1166563.23
"SUR","Suriname",844163.16
"SYR","Syrian Arab Republic",765677.48
"TJK","Tajikistan",764562.02
"THA","Thailand",1437454.88
"TLS","Timor Leste",791682.68
"TGO","Togo",853790.21
"TON","Tonga",794058.45
"TTO","Trinidad and Tobago",785491.71
"TUN","Tunisia",777618.91
"TUR","Turkiye",993008.44
"TKM","Turkmenistan",768985.69
"TUV","Tuvalu",684735.15
"UGA","Uganda",1030712.78
"UKR","Ukraine",851679.7
"ARE","United Arab Emirates",723971.4
"TZA","United Rep. Tanzania",2311535.19
"URY","Uruguay",807068.1
"UZB","Uzbekistan",772832.02
"VUT","Vanuatu",1201382.52
"VEN","Venezuela",2515713.19
"VNM","Viet Nam",1811329.35
"YEM","Yemen",1033102.63
"ZMB","Zambia",1074710.75
"ZWE","Zimbabwe",904005.86
