iso3,country_name,inverse
AFG,Afghanistan,200
ALB,Albania,100
DZA,Algeria,11.49425287
AGO,Angola,100
ATG,Antigua and Barbuda,500
ARG,Argentina,2.040816327
ARM,Armenia,142.8571429
AZE,Azerbaijan,29.41176471
BHS,Bahamas,66.66666667
BHR,Bahrain,20
BGD,Bangladesh,100
BRB,Barbados,142.8571429
BLR,Belarus,23.25581395
BLZ,Belize,1000
BEN,Benin,200
BTN,Bhutan,1000
BOL,Bolivia,55.55555556
BIH,Bosnia and Herzegovina,71.42857143
BWA,Botswana,76.92307692
BRA,Brazil,0.708717222
BRN,Brunei Darussalam,52.63157895
BFA,Burkina Faso,200
BDI,Burundi,1000
CPV,Cabo Verde,1000
KHM,Cambodia,125
CMR,Cameroon,71.42857143
CAF,Central African Republic,1000
TCD,Chad,200
CHL,Chile,2.673796791
CHN,China,0.049990002
COL,Colombia,5.076142132
COM,Comoros,1000
COG,Congo,200
CRI,Costa Rica,15.87301587
CIV,Cote d'Ivoire,41.66666667
CUB,Cuba,8.196721311
PRK,Democratic People's Republic of Korea,200
COD,Democratic Republic of the Congo,100
DJI,Djibouti,500
DMA,Dominica,1000
DOM,Dominican Republic,14.49275362
ECU,Ecuador,15.38461538
EGY,Egypt,5.494505495
SLV,El Salvador,76.92307692
GNQ,Equatorial Guinea,125
ERI,Eritrea,1000
SWZ,Eswatini,500
ETH,Ethiopia,100
FJI,Fiji,333.3333333
GAB,Gabon,90.90909091
GMB,Gambia,1000
GEO,Georgia,111.1111111
GHA,Ghana,40
GRD,Grenada,1000
GTM,Guatemala,21.73913043
GIN,Guinea,250
GNB,Guinea-Bissau,1000
GUY,Guyana,90.90909091
HTI,Haiti,166.6666667
HND,Honduras,100
IND,India,0.904159132
IDN,Indonesia,1.727115717
IRN,Iran,2.590673575
IRQ,Iraq,7.633587786
JAM,Jamaica,142.8571429
JOR,Jordan,47.61904762
KAZ,Kazakhstan,7.633587786
KEN,Kenya,27.02702703
KIR,Kiribati,1000
KWT,Kuwait,4.504504505
KGZ,Kyrgyzstan,333.3333333
LAO,Lao People's Democratic Republic,166.6666667
LBN,Lebanon,45.45454545
LSO,Lesotho,1000
LBR,Liberia,1000
LBY,Libya,25
MDG,Madagascar,250
MWI,Malawi,333.3333333
MYS,Malaysia,3.067484663
MDV,Maldives,250
MLI,Mali,200
MHL,Marshall Islands,1000
MRT,Mauritania,333.3333333
MUS,Mauritius,100
MEX,Mexico,0.879507476
MNG,Mongolia,250
MNE,Montenegro,250
MAR,Morocco,16.94915254
MOZ,Mozambique,500
MMR,Myanmar,100
NAM,Namibia,142.8571429
NRU,Nauru,1000
NPL,Nepal,100
NIC,Nicaragua,250
NER,Niger,250
NGA,Nigeria,6.666666667
MKD,North Macedonia,125
OMN,Oman,8.695652174
PAK,Pakistan,8.130081301
PLW,Palau,1000
PAN,Panama,11.62790698
PNG,Papua New Guinea,111.1111111
PRY,Paraguay,43.47826087
PER,Peru,6.896551724
PHL,Philippines,5.050505051
QAT,Qatar,4.081632653
MDA,Republic of Moldova,166.6666667
RUS,Russian Federation,0.477554919
RWA,Rwanda,333.3333333
KNA,Saint Kitts and Nevis,1000
LCA,Saint Lucia,500
VCT,Saint Vincent and the Grenadines,1000
WSM,Samoa,1000
STP,Sao Tome and Principe,1000
SAU,Saudi Arabia,0.821692687
SEN,Senegal,142.8571429
SRB,Serbia,25
SYC,Seychelles,500
SLE,Sierra Leone,1000
SGP,Singapore,2.087682672
SLB,Solomon Islands,1000
SOM,Somalia,500
ZAF,South Africa,3.984063745
SSD,South Sudan,200
LKA,Sri Lanka,26.31578947
SDN,Sudan,125
SUR,Suriname,500
SYR,Syrian Arab Republic,166.6666667
TJK,Tajikistan,333.3333333
THA,Thailand,2.93255132
TLS,Timor-Leste,1000
TGO,Togo,500
TON,Tonga,1000
TTO,Trinidad and Tobago,30.3030303
TUN,Tunisia,55.55555556
TUR,Türkiye,1.459854015
TKM,Turkmenistan,27.77777778
TUV,Tuvalu,1000
UGA,Uganda,100
UKR,Ukraine,13.51351351
ARE,United Arab Emirates,1.742160279
TZA,United Republic of Tanzania,100
URY,Uruguay,12.65822785
UZB,Uzbekistan,41.66666667
VUT,Vanuatu,1000
VEN,Venezuela,14.49275362
VNM,Viet Nam,6.289308176
YEM,Yemen,333.3333333
ZMB,Zambia,166.6666667
ZWE,Zimbabwe,142.8571429
FSM,Federated States of Micronesia,1000
