ISO3 country code,country_name,gef_allocation
AFG,Afghanistan,0.217142667
AGO,Angola,0.610718206
ALB,Albania,0.060233381
ARE,United Arab Emirates,0.069848564
ARG,Argentina,1.32200407
ARM,Armenia,0.036681895
ATG,Antigua and Barbuda,0.043313568
AZE,Azerbaijan,0.049571714
BDI,Burundi,0.054755557
BEN,Benin,0.057498842
BFA,Burkina Faso,0.047760849
BGD,Bangladesh,0.140849994
BHR,Bahrain,0.015120131
BHS,The Bahamas,0.275679523
BIH,Bosnia and Herzegovina,0.037822834
BLR,Belarus,0.023715768
BLZ,Belize,0.117541308
BOL,Bolivia,1.017301422
BRA,Brazil,5.92666219
BRB,Barbados,0.047838844
BRN,Brunei,0.033998429
BTN,Bhutan,0.084562106
BWA,Botswana,0.145545269
CAF,Central African Republic,0.134272157
CHL,Chile,0.896158654
CHN,China,3.670569047
CIV,Ivory Coast,0.307480841
CMR,Cameroon,0.909621907
COD,Democratic Republic of the Congo,1.208032173
COG,Republic of the Congo,0.191459618
COL,Colombia,3.569997758
COM,Comoros,0.157149737
CRI,Costa Rica,0.72966936
CUB,Cuba,0.751329969
DJI,Djibouti,0.052648531
DMA,Dominica,0.069321189
DOM,Dominican Republic,0.367518707
DZA,Algeria,0.208397595
ECU,Ecuador,2.201528559
EGY,Egypt,0.239305906
ERI,Eritrea,0.133612376
ETH,Ethiopia,0.648354698
FJI,Fiji,0.319933113
FSM,Federated States of Micronesia,0.251936846
GAB,Gabon,0.246040862
GEO,Georgia,0.064646727
GHA,Ghana,0.221202171
GIN,Guinea,0.201851936
GMB,Gambia,0.03867529
GNB,Guinea-Bissau,0.06602453
GNQ,Equatorial Guinea,0.112582334
GRD,Grenada,0.057910399
GTM,Guatemala,0.656508519
GUY,Guyana,0.21684066
HND,Honduras,0.650401682
HTI,Haiti,0.435494766
IDN,Indonesia,6.589957896
IND,India,2.850157377
IRN,Iran,0.399909096
IRQ,Iraq,0.108168507
JAM,Jamaica,0.289645856
JOR,Jordan,0.038748077
KAZ,Kazakhstan,0.320515849
KEN,Kenya,0.655705004
KGZ,Kyrgyzstan,0.077730056
KHM,Cambodia,0.223278494
KIR,Kiribati,0.146743613
KNA,Saint Kitts and Nevis,0.01881652
KWT,Kuwait,0.021037097
LAO,Laos,0.323643236
LBN,Lebanon,0.033662381
LBR,Liberia,0.167098742
LBY,Libya,0.133679224
LCA,Saint Lucia,0.078291767
LKA,Sri Lanka,0.754335839
LSO,Lesotho,0.030379423
MAR,Morocco,0.210611146
MDA,Moldova,0.002753575
MDG,Madagascar,2.900566154
MDV,Maldives,0.09971255
MEX,Mexico,4.484056808
MHL,Marshall Islands,0.142664863
MKD,North Macedonia,0.029814466
MLI,Mali,0.116640703
MMR,Myanmar,0.805831809
MNE,Montenegro,0.036484295
MNG,Mongolia,0.24452811
MOZ,Mozambique,0.566061773
MRT,Mauritania,0.099309401
MUS,Mauritius,0.193267826
MWI,Malawi,0.16067203
MYS,Malaysia,1.104224749
NAM,Namibia,0.389548598
NER,Niger,0.075739206
NGA,Nigeria,0.458999782
NIC,Nicaragua,0.32474313
NPL,Nepal,0.237437631
NRU,Nauru,0.023230261
OMN,Oman,0.26071881
PAK,Pakistan,0.303149935
PAN,Panama,0.826239784
PER,Peru,2.763884461
PHL,Philippines,2.226410473
PLW,Palau,0.124916697
PNG,Papua New Guinea,2.284318243
PRK,North Korea,0.065583407
PRY,Paraguay,0.170825316
QAT,Qatar,0.020162155
RUS,Russia,1.416186242
RWA,Rwanda,0.079132745
SAU,Saudi Arabia,0.429765928
SDN,Sudan,0.214320745
SEN,Senegal,0.220142847
SGP,Singapore,0.015693199
SLB,Solomon Islands,0.495847399
SLE,Sierra Leone,0.119656026
SLV,El Salvador,0.092254883
SOM,Somalia,0.446578352
SRB,Republic of Serbia,0.043830034
SSD,South Sudan,0.156458282
STP,São Tomé and Principe,0.169797389
SUR,Suriname,0.146131959
SWZ,eSwatini,0.028543734
SYC,Seychelles,0.241187789
SYR,Syria,0.063982802
TCD,Chad,0.130403938
TGO,Togo,0.054043884
THA,Thailand,0.600548085
TJK,Tajikistan,0.059161324
TKM,Turkmenistan,0.099721674
TLS,East Timor,0.086450376
TON,Tonga,0.156658544
TTO,Trinidad and Tobago,0.143363348
TUN,Tunisia,0.105986532
TUR,Turkey,0.393566342
TUV,Tuvalu,0.039440387
TZA,United Republic of Tanzania,1.360069325
UGA,Uganda,0.219713186
UKR,Ukraine,0.122703157
URY,Uruguay,0.153688466
UZB,Uzbekistan,0.082777968
VCT,Saint Vincent and the Grenadines,0.064327176
VEN,Venezuela,1.89071298
VNM,Vietnam,0.883604961
VUT,Vanuatu,0.172199473
WSM,Samoa,0.078847139
YEM,Yemen,0.350337837
ZAF,South Africa,1.639335606
ZMB,Zambia,0.305278017
ZWE,Zimbabwe,0.199974098
PSE,State of Palestine,0.036255507
NIU,Niue,0.023200746
COK,Cook Islands,0.088099988
CPV,Cape Verde,0.328060532
