"country_name","iso3","gni_per_capita","inverse"
"Afghanistan","AFG",370,0.0027027027027027
"Angola","AGO",2700,0.00037037037037037
"Albania","ALB",8730,0.00011454753722795
"United Arab Emirates","ARE",51100,1.95694716242661e-05
"Argentina","ARG",12920,7.73993808049536e-05
"Armenia","ARM",6850,0.000145985401459854
"Antigua and Barbuda","ATG",19970,5.00751126690035e-05
"Azerbaijan","AZE",6680,0.000149700598802395
"Burundi","BDI",280,0.00357142857142857
"Benin","BEN",1390,0.000719424460431655
"Burkina Faso","BFA",840,0.00119047619047619
"Bangladesh","BGD",2880,0.000347222222222222
"Bahrain","BHR",28460,3.51370344342937e-05
"Bahamas, The","BHS",35180,2.84252416145537e-05
"Bosnia and Herzegovina","BIH",8280,0.000120772946859903
"Belarus","BLR",7850,0.000127388535031847
"Belize","BLZ",6850,0.000145985401459854
"Bolivia","BOL",4230,0.000236406619385343
"Brazil","BRA",9310,0.000107411385606874
"Barbados","BRB",24960,4.00641025641026e-05
"Brunei Darussalam","BRN",34390,2.90782204129107e-05
"Bhutan","BTN",3730,0.000268096514745308
"Botswana","BWA",8360,0.000119617224880383
"Central African Republic","CAF",530,0.00188679245283019
"Chile","CHL",15950,6.26959247648903e-05
"China","CHN",13750,7.27272727272727e-05
"Cote d'Ivoire","CIV",2510,0.000398406374501992
"Cameroon","CMR",1680,0.000595238095238095
"Congo, Dem. Rep.","COD",680,0.00147058823529412
"Congo, Rep.","COG",2310,0.000432900432900433
"Colombia","COL",6720,0.000148809523809524
"Comoros","COM",1580,0.000632911392405063
"Cabo Verde","CPV",4740,0.000210970464135021
"Costa Rica","CRI",14260,7.01262272089762e-05
"Cuba","CUB",NA,NA
"Djibouti","DJI",3500,0.000285714285714286
"Dominica","DMA",9990,0.0001001001001001
"Dominican Republic","DOM",9700,0.000103092783505155
"Algeria","DZA",4950,0.000202020202020202
"Ecuador","ECU",6590,0.000151745068285281
"Egypt, Arab Rep.","EGY",3840,0.000260416666666667
"Eritrea","ERI",NA,NA
"Ethiopia","ETH",1030,0.000970873786407767
"Fiji","FJI",5670,0.00017636684303351
"Micronesia, Fed. Sts.","FSM",4130,0.000242130750605327
"Gabon","GAB",7760,0.000128865979381443
"Georgia","GEO",6710,0.00014903129657228
"Ghana","GHA",2280,0.00043859649122807
"Guinea","GIN",1340,0.000746268656716418
"Gambia, The","GMB",870,0.00114942528735632
"Guinea-Bissau","GNB",990,0.00101010101010101
"Equatorial Guinea","GNQ",4840,0.000206611570247934
"Grenada","GRD",10120,9.88142292490119e-05
