"ISO3 country code","country_name","gef_allocation"
"AFG","Afghanistan",0.21714266689251
"AGO","Angola",0.610718206018826
"ALB","Albania",0.0602333806087756
"ARE","United Arab Emirates",0.0698485640580673
"ARG","Argentina",1.32200407007094
"ARM","Armenia",0.0366818951211672
"ATG","Antigua and Barbuda",0.0433135682029597
"AZE","Azerbaijan",0.0495717139044222
"BDI","Burundi",0.0547555574025062
"BEN","Benin",0.0574988418471224
"BFA","Burkina Faso",0.0477608493113387
"BGD","Bangladesh",0.14084999444146
"BHR","Bahrain",0.0151201311745474
"BHS","The Bahamas",0.275679522920264
"BIH","Bosnia and Herzegovina",0.0378228343346717
"BLR","Belarus",0.023715767696354
"BLZ","Belize",0.117541307674564
"BOL","Bolivia",1.01730142174274
"BRA","Brazil",5.9266621901073
"BRB","Barbados",0.0478388435775859
"BRN","Brunei",0.0339984287373727
"BTN","Bhutan",0.0845621063079975
"BWA","Botswana",0.145545269362583
"CAF","Central African Republic",0.134272156559109
"CHL","Chile",0.89615865394973
"CHN","China",3.67056904746473
"CIV","Ivory Coast",0.307480841408604
"CMR","Cameroon",0.909621907219412
"COD","Democratic Republic of the Congo",1.20803217344749
"COG","Republic of the Congo",0.191459617579438
"COL","Colombia",3.56999775804771
"COM","Comoros",0.157149737089544
"CRI","Costa Rica",0.729669360340287
"CUB","Cuba",0.751329969087939
"DJI","Djibouti",0.0526485310949035
"DMA","Dominica",0.0693211893850391
"DOM","Dominican Republic",0.367518707261167
"DZA","Algeria",0.208397595472316
"ECU","Ecuador",2.20152855910185
"EGY","Egypt",0.239305906143548
"ERI","Eritrea",0.133612375748474
"ETH","Ethiopia",0.648354698149035
"FJI","Fiji",0.319933112726352
"FSM","Federated States of Micronesia",0.25193684559227
"GAB","Gabon",0.246040862235796
"GEO","Georgia",0.0646467273594818
"GHA","Ghana",0.221202171406974
"GIN","Guinea",0.201851936375474
"GMB","Gambia",0.0386752896913256
"GNB","Guinea-Bissau",0.066024530436094
"GNQ","Equatorial Guinea",0.112582333608879
"GRD","Grenada",0.0579103991142063
"GTM","Guatemala",0.656508518661908
"GUY","Guyana",0.216840660499847
"HND","Honduras",0.650401681770115
"HTI","Haiti",0.435494765710053
"IDN","Indonesia",6.58995789550055
"IND","India",2.85015737740845
"IRN","Iran",0.399909095699736
"IRQ","Iraq",0.108168506739587
"JAM","Jamaica",0.289645856466451
"JOR","Jordan",0.0387480771181857
"KAZ","Kazakhstan",0.320515849158217
"KEN","Kenya",0.655705003936891
"KGZ","Kyrgyzstan",0.0777300555737445
"KHM","Cambodia",0.223278494150611
"KIR","Kiribati",0.14674361326656
"KNA","Saint Kitts and Nevis",0.0188165200660936
"KWT","Kuwait",0.021037096937047
"LAO","Laos",0.323643236376969
"LBN","Lebanon",0.0336623813162358
"LBR","Liberia",0.167098741729496
"LBY","Libya",0.133679223806888
"LCA","Saint Lucia",0.0782917665431699
"LKA","Sri Lanka",0.754335838801792
"LSO","Lesotho",0.0303794226148372
"MAR","Morocco",0.210611146317896
"MDA","Moldova",0.00275357463269121
"MDG","Madagascar",2.9005661536162
"MDV","Maldives",0.0997125502379002
"MEX","Mexico",4.4840568079227
"MHL","Marshall Islands",0.142664863382048
"MKD","North Macedonia",0.0298144661811343
"MLI","Mali",0.116640703472686
"MMR","Myanmar",0.805831809073372
"MNE","Montenegro",0.0364842950087011
"MNG","Mongolia",0.244528110105962
"MOZ","Mozambique",0.566061772900112
"MRT","Mauritania",0.0993094006050368
"MUS","Mauritius",0.193267826349105
"MWI","Malawi",0.160672029670437
"MYS","Malaysia",1.10422474943918
"NAM","Namibia",0.389548597689704
"NER","Niger",0.0757392058090508
"NGA","Nigeria",0.458999782135699
"NIC","Nicaragua",0.324743129541691
"NPL","Nepal",0.237437630511355
"NRU","Nauru",0.0232302605570151
"OMN","Oman",0.260718809521342
"PAK","Pakistan",0.303149935285686
"PAN","Panama",0.826239784370719
"PER","Peru",2.76388446096111
"PHL","Philippines",2.22641047288172
"PLW","Palau",0.12491669732434
"PNG","Papua New Guinea",2.28431824296852
"PRK","North Korea",0.0655834067678604
"PRY","Paraguay",0.170825315963898
"QAT","Qatar",0.0201621553566252
"RUS","Russia",1.41618624202346
"RWA","Rwanda",0.0791327453343973
"SAU","Saudi Arabia",0.429765927919782
"SDN","Sudan",0.214320744604158
"SEN","Senegal",0.220142847397345
"SGP","Singapore",0.0156931986019803
"SLB","Solomon Islands",0.495847398764759
"SLE","Sierra Leone",0.119656025922659
"SLV","El Salvador",0.0922548831315742
"SOM","Somalia",0.446578351660017
"SRB","Republic of Serbia",0.0438300338699461
"SSD","South Sudan",0.156458281987994
"STP","São Tomé and Principe",0.169797388923596
"SUR","Suriname",0.146131958894374
"SWZ","eSwatini",0.0285437342295834
"SYC","Seychelles",0.241187788603098
"SYR","Syria",0.0639828020614691
"TCD","Chad",0.130403937879445
"TGO","Togo",0.0540438844922735
"THA","Thailand",0.600548084973803
"TJK","Tajikistan",0.0591613236642613
"TKM","Turkmenistan",0.0997216741211359
"TLS","East Timor",0.0864503759650082
"TON","Tonga",0.156658544155346
"TTO","Trinidad and Tobago",0.143363348197516
"TUN","Tunisia",0.105986532163754
"TUR","Turkey",0.393566341886717
"TUV","Tuvalu",0.0394403871982905
"TZA","United Republic of Tanzania",1.36006932473524
"UGA","Uganda",0.219713186381147
"UKR","Ukraine",0.122703156651868
"URY","Uruguay",0.153688466412335
"UZB","Uzbekistan",0.0827779677649607
"VCT","Saint Vincent and the Grenadines",0.0643271759377788
"VEN","Venezuela",1.89071297971281
"VNM","Vietnam",0.883604961260574
"VUT","Vanuatu",0.172199472945591
"WSM","Samoa",0.0788471389134546
"YEM","Yemen",0.350337836690633
"ZAF","South Africa",1.63933560573752
"ZMB","Zambia",0.305278017150825
"ZWE","Zimbabwe",0.199974098018057
