"iso3","country_name","iplc_tk"
"AFG","Afghanistan",0.063646170442287
"ALB","Albania",0.0151024811218986
"DZA","Algeria",0.0248112189859763
"AGO","Angola",0.058252427184466
"ATG","Antigua and Barbuda",0
"ARG","Argentina",0.04638619201726
"ARM","Armenia",0.00862998921251348
"AZE","Azerbaijan",0.0323624595469256
"BHS","Bahamas",0
"BHR","Bahrain",0.00215749730312837
"BGD","Bangladesh",0.0550161812297735
"BRB","Barbados",0.00107874865156419
"BLR","Belarus",0.0151024811218986
"BLZ","Belize",0.00647249190938511
"BEN","Benin",0.0604099244875944
"BTN","Bhutan",0.0355987055016181
"BOL","Bolivia",0.0798274002157497
"BIH","Bosnia-Herzegovina",0.00862998921251348
"BWA","Botswana",0.0399137001078749
"BRA","Brazil",0.379719525350593
"BRN","Brunei Darussalam",0.011866235167206
"BFA","Burkino Faso",0.0895361380798274
"BDI","Burundi",0.00970873786407767
"CPV","Cabo Verde",0
"KHM","Cambodia",0.0302049622437972
"CMR","Cameroon",0.347357065803668
"CAF","Central African Republic",0.101402373247033
"TCD","Chad",0.157497303128371
"CHL","Chile",0.0183387270765912
"CHN","China",0.508090614886731
"COL","Colombia",0.148867313915858
"COM","Comoros",0.00431499460625674
"COG","Congo",0.0765911542610572
"COK","Cook Islands",0.00539374325782093
"CRI","Costa Rica",0.0161812297734628
"CIV","Cote d'Ivoire",0.5
"CUB","Cuba",0.00323624595469256
"PRK","Dem. People's Rep.Korea",0.00215749730312837
"COD","Dem. Rep.Congo",0.270765911542611
"DJI","Djibouti",0.00431499460625674
"DMA","Dominica",0.00107874865156419
"DOM","Dominican Republic",0.00323624595469256
"ECU","Ecuador",0.0312837108953614
"EGY","Egypt",0.0161812297734628
"SLV","El Salvador",0.00647249190938511
"GNQ","Equatorial Guinea",0.011866235167206
"ERI","Eritrea",0.0151024811218986
"SWZ","Eswatini",0.00323624595469256
"ETH","Ethiopia",0.11866235167206
"FJI","Fiji",0.0140237324703344
"GAB","Gabon",0.0539374325782093
"GMB","Gambia",0.0204962243797195
"GEO","Georgia",0.0312837108953614
"GHA","Ghana",0.10571736785329
"GRD","Grenada",0
"GTM","Guatemala",0.0711974110032362
"GIN","Guinea",0.0571736785329018
"GNB","Guinea Bissau",0.0355987055016181
"GUY","Guyana",0.0280474649406688
"HTI","Haiti",0.00323624595469256
"HND","Honduras",0.011866235167206
"IND","India",0.610571736785329
"IDN","Indonesia",0.828478964401295
"IRN","Iran (Islamic Republic of)",0.120819848975189
"IRQ","Iraq",0.0345199568500539
"JAM","Jamaica",0.00323624595469256
"JOR","Jordan",0.0151024811218986
"KAZ","Kazakhstan",0.029126213592233
"KEN","Kenya",0.0916936353829558
"KIR","Kiribati",0.00107874865156419
"KWT","Kuwait",0.00647249190938511
"KGZ","Kyrgyzstan",0.00862998921251348
"LAO","Lao People's Dem. Rep.",0.129449838187702
"LBN","Lebanon",0.00647249190938511
"LSO","Lesotho",0.00539374325782093
"LBR","Liberia",0.0431499460625674
"LBY","Libya",0.0183387270765912
"MDG","Madagascar",0.017259978425027
"MWI","Malawi",0.0302049622437972
"MYS","Malaysia",0.147788565264293
"MDV","Maldives",0
"MLI","Mali",0.087378640776699
"MHL","Marshall Islands",0
"MRT","Mauritania",0.00970873786407767
"MUS","Mauritius",0.00107874865156419
"MEX","Mexico",0.378640776699029
"FSM","Micronesia (Fed. States of)",0.0194174757281553
"MNG","Mongolia",0.0248112189859763
"MNE","Montenegro",0.00862998921251348
"MAR","Morocco",0.0183387270765912
"MOZ","Mozambique",0.0485436893203883
"MMR","Myanmar",0.169363538295577
"NAM","Namibia",0.0377562028047465
"NRU","Nauru",0.00323624595469256
"NPL","Nepal",0.147788565264293
"NIC","Nicaragua",0.0129449838187702
"NER","Niger",0.0258899676375405
"NGA","Nigeria",0.66235167206041
"NIU","Niue",0
"MKD","North Macedonia",0.017259978425027
"OMN","Oman",0.0140237324703344
"PAK","Pakistan",0.0938511326860841
"PLW","Palau",0.00323624595469256
"PAN","Panama",0.0183387270765912
"PNG","Papua New Guinea",1
"PRY","Paraguay",0.0355987055016181
"PER","Peru",0.145631067961165
"PHL","Philippines",0.210355987055016
"QAT","Qatar",0.00107874865156419
"MDA","Republic of Moldova",0.00970873786407767
"RUS","Russian Federation",0.202804746494067
"RWA","Rwanda",0.00862998921251348
"KNA","Saint Kitts and Nevis",0
"LCA","Saint Lucia",0
"VCT","Saint Vincent & Grenadines",0
"WSM","Samoa",0.00107874865156419
"STP","Sao Tome y Principe",0.00323624595469256
"SAU","Saudi Arabia",0.0151024811218986
"SEN","Senegal",0.0528586839266451
"SRB","Serbia",0.0194174757281553
"SYC","Seychelles",0.00107874865156419
"SLE","Sierra Leone",0.029126213592233
"SGP","Singapore",0.0075512405609493
"SLB","Solomon Islands",0.0841423948220065
"SOM","Somalia",0.0129449838187702
"ZAF","South Africa",0.0496224379719525
"SSD","South Sudan",0.0970873786407767
"LKA","Sri Lanka",0.00539374325782093
"PSE","State of Palestine",0.00862998921251348
"SDN","Sudan",0.114347357065804
"SUR","Suriname",0.0237324703344121
"SYR","Syrian Arab Republic",0.0215749730312837
"TJK","Tajikistan",0.0226537216828479
"THA","Thailand",0.0906148867313916
"TLS","Timor Leste",0.0237324703344121
"TGO","Togo",0.0550161812297735
"TON","Tonga",0.00323624595469256
"TTO","Trinidad and Tobago",0.00431499460625674
"TUN","Tunisia",0.0129449838187702
"TUR","Turkiye",0.5
"TKM","Turkmenistan",0.011866235167206
"TUV","Tuvalu",0.00107874865156419
"UGA","Uganda",0.0658036677454153
"UKR","Ukraine",0.0334412081984898
"ARE","United Arab Emirates",0.00539374325782093
"TZA","United Rep. Tanzania",0.161812297734628
"URY","Uruguay",0.00862998921251348
"UZB","Uzbekistan",0.0183387270765912
"VUT","Vanuatu",0.13915857605178
"VEN","Venezuela",0.0711974110032362
"VNM","Viet Nam",0.133764832793959
"YEM","Yemen",0.0269687162891046
"ZMB","Zambia",0.0550161812297735
"ZWE","Zimbabwe",0.0280474649406688
