"ISO_A3","country_name","allocation"
"AFG","Afghanistan",45858.85
"ALB","Albania",19167.72
"DZA","Algeria",10448.39
"AGO","Angola",38789.97
"ATG","Antigua and Barbuda",78373.99
"ARG","Argentina",38503.44
"ARM","Armenia",24248.53
"AZE","Azerbaijan",10658.73
"BHS","Bahamas",16731.84
"BHR","Bahrain",3714.18
"BGD","Bangladesh",27243.4
"BRB","Barbados",23341.51
"BLR","Belarus",6424.94
"BLZ","Belize",158549.42
"BEN","Benin",41604.89
"BTN","Bhutan",162284.32
"BOL","Bolivia",44806.07
"BIH","Bosnia-Herzegovina",13214.17
"BWA","Botswana",21441.56
"BRA","Brazil",198157.47
"BRN","Brunei Darussalam",10714.56
"BFA","Burkino Faso",45886.14
"BDI","Burundi",157574.61
"CPV","Cabo Verde",154848.79
"KHM","Cambodia",29210.52
"CMR","Cameroon",86159.48
"CAF","Central African Republic",173642.5
"TCD","Chad",58352.57
"CHL","Chile",24247.77
"CHN","China",164898.43
"COL","Colombia",107687.29
"COM","Comoros",159146.43
"COG","Congo",47259.62
"COK","Cook Islands",835.21
"CRI","Costa Rica",22043.92
"CIV","Cote d'Ivoire",13607.99
"CUB","Cuba",19359.87
"PRK","Dem. People's Rep.Korea",32774.62
"COD","Dem. Rep.Congo",85738.79
"DJI","Djibouti",79261.6
"DMA","Dominica",156580.67
"DOM","Dominican Republic",11312.41
"ECU","Ecuador",58906.64
"EGY","Egypt",8909.52
"SLV","El Salvador",15010.51
"GNQ","Equatorial Guinea",23768.6
"ERI","Eritrea",160263.55
"SWZ","Eswatini",78527.91
"ETH","Ethiopia",49029.11
"FJI","Fiji",61238.76
"GAB","Gabon",28141.35
"GMB","Gambia",158867.03
"GEO","Georgia",23497.74
"GHA","Ghana",27691.91
"GRD","Grenada",156145.39
"GTM","Guatemala",29751.69
"GIN","Guinea",52239.97
"GNB","Guinea Bissau",161848.55
"GUY","Guyana",23445.9
"HTI","Haiti",36475.48
"HND","Honduras",32539.98
"IND","India",161613.95
"IDN","Indonesia",283397.46
"IRN","Iran (Islamic Republic of)",28438.39
"IRQ","Iraq",8997.79
"JAM","Jamaica",29359.87
"JOR","Jordan",10551.12
"KAZ","Kazakhstan",13154.33
"KEN","Kenya",33725.48
"KIR","Kiribati",158400.68
"KWT","Kuwait",2121.87
"KGZ","Kyrgyzstan",54709.96
"LAO","Lao People's Dem. Rep.",53390.15
"LBN","Lebanon",8760.04
"LSO","Lesotho",156333.42
"LBR","Liberia",165393.85
"LBY","Libya",9781.14
"MDG","Madagascar",109499.44
"MWI","Malawi",60000.57
"MYS","Malaysia",49245.01
"MDV","Maldives",40985.65
"MLI","Mali",47171.24
"MHL","Marshall Islands",158137.75
"MRT","Mauritania",55384.27
"MUS","Mauritius",20123.47
"MEX","Mexico",164104.81
"FSM","Micronesia (Fed. States of)",8864.45
"MNG","Mongolia",48231.9
"MNE","Montenegro",40835.66
"MAR","Morocco",10342.89
"MOZ","Mozambique",98179.43
"MMR","Myanmar",60582.02
"NAM","Namibia",37053.71
"NRU","Nauru",155831.27
"NPL","Nepal",43879.63
"NIC","Nicaragua",48280.08
"NER","Niger",44431.13
"NGA","Nigeria",114314.2
"NIU","Niue",0
"MKD","North Macedonia",22658.15
"OMN","Oman",9574.52
"PAK","Pakistan",22845.56
"PLW","Palau",158221.67
"PAN","Panama",23990.76
"PNG","Papua New Guinea",225681.24
"PRY","Paraguay",16188.52
"PER","Peru",88518.35
"PHL","Philippines",85620.37
"QAT","Qatar",1200.6
"MDA","Republic of Moldova",27305.07
"RUS","Russian Federation",64696.57
"RWA","Rwanda",54742.93
"KNA","Saint Kitts and Nevis",155226.39
"LCA","Saint Lucia",79196.24
"VCT","Saint Vincent & Grenadines",156296.23
"WSM","Samoa",156804.6
"STP","Sao Tome y Principe",159276.7
"SAU","Saudi Arabia",12496.1
"SEN","Senegal",35410
"SRB","Serbia",7836.05
"SYC","Seychelles",83192.56
"SLE","Sierra Leone",162107.03
"SGP","Singapore",1789.03
"SLB","Solomon Islands",179469.54
"SOM","Somalia",89858.25
"ZAF","South Africa",46765.16
"SSD","South Sudan",49610.64
"LKA","Sri Lanka",22570.47
"PSE","State of Palestine",1336.34
"SDN","Sudan",42029.29
"SUR","Suriname",84465.94
"SYR","Syrian Arab Republic",30581.89
"TJK","Tajikistan",56445.01
"THA","Thailand",28530.65
"TLS","Timor Leste",160491.23
"TGO","Togo",87145.42
"TON","Tonga",158967.84
"TTO","Trinidad and Tobago",8658.44
"TUN","Tunisia",13026.66
"TUR","Turkiye",9405.36
"TKM","Turkmenistan",8410.78
"TUV","Tuvalu",155878.24
"UGA","Uganda",30767.71
"UKR","Ukraine",10082.96
"ARE","United Arab Emirates",2674.49
"TZA","United Rep. Tanzania",72441.47
"URY","Uruguay",6836.92
"UZB","Uzbekistan",11165.52
"VUT","Vanuatu",180380.57
"VEN","Venezuela",57642.62
"VNM","Viet Nam",42386.15
"YEM","Yemen",63958.02
"ZMB","Zambia",41432.47
"ZWE","Zimbabwe",31093.9
