"ISO_A3","country_name","allocation"
"AFG","Afghanistan",1348341.02
"ALB","Albania",1293022.6
"DZA","Algeria",1178648.6
"AGO","Angola",1389892.33
"ATG","Antigua and Barbuda",1279514.01
"ARG","Argentina",1220133.09
"ARM","Armenia",1285341.57
"AZE","Azerbaijan",1165989.34
"BHS","Bahamas",1167489.83
"BHR","Bahrain",652435.08
"BGD","Bangladesh",1332890.07
"BRB","Barbados",1280863.82
"BLR","Belarus",1149794.42
"BLZ","Belize",1432066.34
"BEN","Benin",1327340.38
"BTN","Bhutan",1450504.53
"BOL","Bolivia",1314579.03
"BIH","Bosnia-Herzegovina",1146483.67
"BWA","Botswana",1182899.62
"BRA","Brazil",1870330.04
"BRN","Brunei Darussalam",662047.73
"BFA","Burkino Faso",1348475.72
"BDI","Burundi",1427253.97
"CPV","Cabo Verde",1451549.27
"KHM","Cambodia",1323489.07
"CMR","Cameroon",1506594.95
"CAF","Central African Republic",1506576.79
"TCD","Chad",1410019.16
"CHL","Chile",767049.51
"CHN","China",1463409.71
"COL","Colombia",1559354.66
"COM","Comoros",1435013.61
"COG","Congo",1355256.25
"COK","Cook Islands",1427825.02
"CRI","Costa Rica",746079.09
"CIV","Cote d'Ivoire",1171180.38
"CUB","Cuba",1120920.39
"PRK","Dem. People's Rep.Korea",1283747.72
"COD","Dem. Rep.Congo",1621665.99
"DJI","Djibouti",1283895.92
"DMA","Dominica",1422347.15
"DOM","Dominican Republic",1180621.73
"ECU","Ecuador",1414899.81
"EGY","Egypt",1071395.63
"SLV","El Salvador",1151151.23
"GNQ","Equatorial Guinea",1296623.77
"ERI","Eritrea",1440528.55
"SWZ","Eswatini",1280273.91
"ETH","Ethiopia",1440440.22
"FJI","Fiji",1322336.17
"GAB","Gabon",1205282.55
"GMB","Gambia",1433634.31
"GEO","Georgia",1305904.46
"GHA","Ghana",1241983.01
"GRD","Grenada",1420198.28
"GTM","Guatemala",1266111.75
"GIN","Guinea",1341618.65
"GNB","Guinea Bissau",1448353.24
"GUY","Guyana",1182102.36
"HTI","Haiti",1327500.67
"HND","Honduras",1359037.84
"IND","India",1689775.11
"IDN","Indonesia",2429348.63
"IRN","Iran (Islamic Republic of)",1170024.31
"IRQ","Iraq",1070196.08
"JAM","Jamaica",1310574.87
"JOR","Jordan",1151538.92
"KAZ","Kazakhstan",1090715.81
"KEN","Kenya",1281686.78
"KIR","Kiribati",1431332.04
"KWT","Kuwait",656420.33
"KGZ","Kyrgyzstan",1290105.22
"LAO","Lao People's Dem. Rep.",1411003.83
"LBN","Lebanon",1144351.56
"LSO","Lesotho",1421126.53
"LBR","Liberia",1465855.45
"LBY","Libya",1165029.64
"MDG","Madagascar",1624293.2
"MWI","Malawi",1316223.57
"MYS","Malaysia",1272376.46
"MDV","Maldives",1286059.13
"MLI","Mali",1354819.95
"MHL","Marshall Islands",1430034.06
"MRT","Mauritania",1293434.15
"MUS","Mauritius",1297740.88
"MEX","Mexico",1702090.69
"FSM","Micronesia (Fed. States of)",1457558.72
"MNG","Mongolia",1321831.86
"MNE","Montenegro",1285318.64
"MAR","Morocco",1173957.61
"MOZ","Mozambique",1377288.13
"MMR","Myanmar",1497473.83
"NAM","Namibia",1348557.27
"NRU","Nauru",1418647.58
"NPL","Nepal",1415018.63
"NIC","Nicaragua",1322069.73
"NER","Niger",1303068.51
"NGA","Nigeria",1590853.99
"NIU","Niue",1416170.22
"MKD","North Macedonia",1291141.77
"OMN","Oman",690007.97
"PAK","Pakistan",1138179.24
"PLW","Palau",1430448.31
"PAN","Panama",758935.4
"PNG","Papua New Guinea",2304029.82
"PRY","Paraguay",1182534.79
"PER","Peru",1463331.08
"PHL","Philippines",1450435.84
"QAT","Qatar",652195.57
"MDA","Republic of Moldova",1282228.83
"RUS","Russian Federation",968413.27
"RWA","Rwanda",1290268
"KNA","Saint Kitts and Nevis",1415661.43
"LCA","Saint Lucia",1283573.24
"VCT","Saint Vincent & Grenadines",1420942.95
"WSM","Samoa",1423452.64
"STP","Sao Tome y Principe",1435656.73
"SAU","Saudi Arabia",710450.58
"SEN","Senegal",1340442.74
"SRB","Serbia",1155427.27
"SYC","Seychelles",1303302.01
"SLE","Sierra Leone",1449629.31
"SGP","Singapore",1038848.15
"SLB","Solomon Islands",1535343.35
"SOM","Somalia",1336208.74
"ZAF","South Africa",1259433.43
"SSD","South Sudan",1366862.61
"LKA","Sri Lanka",1227161.24
"PSE","State of Palestine",1424282.39
"SDN","Sudan",1386771.89
"SUR","Suriname",1309588.32
"SYR","Syrian Arab Republic",1298405.6
"TJK","Tajikistan",1298670.71
"THA","Thailand",1170218.43
"TLS","Timor Leste",1441652.56
"TGO","Togo",1322816.2
"TON","Tonga",1434131.96
"TTO","Trinidad and Tobago",1155433.09
"TUN","Tunisia",1157692.67
"TUR","Turkiye",1076927.9
"TKM","Turkmenistan",1156140.99
"TUV","Tuvalu",1418879.48
"UGA","Uganda",1350288.62
"UKR","Ukraine",1175300.91
"ARE","United Arab Emirates",661260.27
"TZA","United Rep. Tanzania",1556020.71
"URY","Uruguay",673463.85
"UZB","Uzbekistan",1159122.54
"VUT","Vanuatu",1539840.86
"VEN","Venezuela",1409341.48
"VNM","Viet Nam",1236053.08
"YEM","Yemen",1335760.4
"ZMB","Zambia",1351971.99
"ZWE","Zimbabwe",1319135.29
