"ISO_A3","country_name","allocation"
"AFG","Afghanistan",2808905.98
"ALB","Albania",782433.65
"DZA","Algeria",926335.97
"AGO","Angola",1285765.91
"ATG","Antigua and Barbuda",691736.07
"ARG","Argentina",1320726.49
"ARM","Armenia",779355.9
"AZE","Azerbaijan",847108.46
"BHS","Bahamas",765720.68
"BHR","Bahrain",675719.04
"BGD","Bangladesh",1080299.81
"BRB","Barbados",689082.11
"BLR","Belarus",777527.95
"BLZ","Belize",804998.27
"BEN","Benin",1326952.76
"BTN","Bhutan",953084.73
"BOL","Bolivia",1401478.76
"BIH","Bosnia-Herzegovina",761840.62
"BWA","Botswana",881748.85
"BRA","Brazil",3958522.82
"BRN","Brunei Darussalam",703273.63
"BFA","Burkino Faso",1732468.21
"BDI","Burundi",3228364.8
"CPV","Cabo Verde",915867.88
"KHM","Cambodia",1099826.43
"CMR","Cameroon",2293607.39
"CAF","Central African Republic",2291686.52
"TCD","Chad",1830535.64
"CHL","Chile",1075330.04
"CHN","China",3391144.51
"COL","Colombia",2496213.87
"COM","Comoros",1161518.46
"COG","Congo",1215464.32
"COK","Cook Islands",695857.25
"CRI","Costa Rica",1011097.23
"CIV","Cote d'Ivoire",1041426.49
"CUB","Cuba",945564.4
"PRK","Dem. People's Rep.Korea",678992.14
"COD","Dem. Rep.Congo",2837659.83
"DJI","Djibouti",874066.58
"DMA","Dominica",740100.1
"DOM","Dominican Republic",862429.52
"ECU","Ecuador",1673787.25
"EGY","Egypt",957941.16
"SLV","El Salvador",835172.84
"GNQ","Equatorial Guinea",859933.25
"ERI","Eritrea",737973.79
"SWZ","Eswatini",848494.22
"ETH","Ethiopia",1880978.9
"FJI","Fiji",923640.77
"GAB","Gabon",962542.09
"GMB","Gambia",1524764.66
"GEO","Georgia",849697.9
"GHA","Ghana",1304781.41
"GRD","Grenada",732060.17
"GTM","Guatemala",1202629.95
"GIN","Guinea",1393406.34
"GNB","Guinea Bissau",1474347.53
"GUY","Guyana",833998.23
"HTI","Haiti",1219781.5
"HND","Honduras",1166988.54
"IND","India",3559447.06
"IDN","Indonesia",5422619.42
"IRN","Iran (Islamic Republic of)",1239938.58
"IRQ","Iraq",888807.02
"JAM","Jamaica",862861.33
"JOR","Jordan",852622.46
"KAZ","Kazakhstan",903162.02
"KEN","Kenya",1461577.14
"KIR","Kiribati",886004.53
"KWT","Kuwait",680852.87
"KGZ","Kyrgyzstan",1078211
"LAO","Lao People's Dem. Rep.",1429507.04
"LBN","Lebanon",861231.73
"LSO","Lesotho",1234464.94
"LBR","Liberia",1802115.13
"LBY","Libya",852925.81
"MDG","Madagascar",3195447.59
"MWI","Malawi",1926359.43
"MYS","Malaysia",1499678.31
"MDV","Maldives",741757.84
"MLI","Mali",1610809.22
"MHL","Marshall Islands",783539.58
"MRT","Mauritania",1034992.28
"MUS","Mauritius",773157.17
"MEX","Mexico",3383506.96
"FSM","Micronesia (Fed. States of)",957981.07
"MNG","Mongolia",942600.28
"MNE","Montenegro",736976.25
"MAR","Morocco",955312.54
"MOZ","Mozambique",2298968.93
"MMR","Myanmar",1962391.23
"NAM","Namibia",1050973.54
"NRU","Nauru",687894.88
"NPL","Nepal",1603305.48
"NIC","Nicaragua",1098908.44
"NER","Niger",1846852.87
"NGA","Nigeria",2769624.07
"NIU","Niue",657217.62
"MKD","North Macedonia",784314.1
"OMN","Oman",810959.39
"PAK","Pakistan",1485020.21
"PLW","Palau",743856.31
"PAN","Panama",1043520.86
"PNG","Papua New Guinea",4307023.1
"PRY","Paraguay",910030.54
"PER","Peru",2172474.72
"PHL","Philippines",2193983.15
"QAT","Qatar",658782.51
"MDA","Republic of Moldova",779016.15
"RUS","Russian Federation",1747519.96
"RWA","Rwanda",1403848.21
"KNA","Saint Kitts and Nevis",679257.68
"LCA","Saint Lucia",726778.63
"VCT","Saint Vincent & Grenadines",732766.42
"WSM","Samoa",820840.05
"STP","Sao Tome y Principe",987891.95
"SAU","Saudi Arabia",862639.81
"SEN","Senegal",1294958.58
"SRB","Serbia",771730.61
"SYC","Seychelles",778363.82
"SLE","Sierra Leone",1577793.53
"SGP","Singapore",674782.67
"SLB","Solomon Islands",1403093.58
"SOM","Somalia",2030902.99
"ZAF","South Africa",1505628.45
"SSD","South Sudan",954546.25
"LKA","Sri Lanka",1145042.83
"PSE","State of Palestine",840457.64
"SDN","Sudan",2090640.32
"SUR","Suriname",892466.22
"SYR","Syrian Arab Republic",727587.98
"TJK","Tajikistan",1228243.64
"THA","Thailand",1199167.77
"TLS","Timor Leste",1107620.14
"TGO","Togo",1477846.17
"TON","Tonga",828381.45
"TTO","Trinidad and Tobago",741255.26
"TUN","Tunisia",897963.44
"TUR","Turkiye",850277.3
"TKM","Turkmenistan",821428.76
"TUV","Tuvalu",738519.82
"UGA","Uganda",1624861.28
"UKR","Ukraine",914370.58
"ARE","United Arab Emirates",693891.59
"TZA","United Rep. Tanzania",2156494.05
"URY","Uruguay",756235.67
"UZB","Uzbekistan",976690.27
"VUT","Vanuatu",1241412.47
"VEN","Venezuela",1782321.62
"VNM","Viet Nam",1489983.94
"YEM","Yemen",851431.85
"ZMB","Zambia",1457022.66
"ZWE","Zimbabwe",1066696.82
