"ISO_A3","country_name","is_developed","equalizer_multiplier","equalizer_allocation","formula_allocation","allocation"
"AFG","Afghanistan",FALSE,1,507614.21319797,2080060.63083052,2587674.84402849
"AGO","Angola",FALSE,1,507614.21319797,618218.589726646,1125832.80292462
"ALB","Albania",FALSE,1,507614.21319797,124614.475192048,632228.688390017
"AND","Andorra",TRUE,1,507614.21319797,10932.8869728447,518547.100170814
"ARE","United Arab Emirates",FALSE,1,507614.21319797,43563.0691623399,551177.282360309
"ARG","Argentina",FALSE,1,507614.21319797,651135.510572922,1158749.72377089
"ARM","Armenia",FALSE,1,507614.21319797,126587.251167044,634201.464365013
"ATG","Antigua and Barbuda",FALSE,1,507614.21319797,41048.0422765834,548662.255474553
"AUS","Australia",TRUE,1,507614.21319797,1093288.69728447,1600902.91048244
"AUT","Austria",TRUE,1,507614.21319797,43731.5478913789,551345.761089348
"AZE","Azerbaijan",FALSE,1,507614.21319797,191349.916395792,698964.129593762
"BDI","Burundi",FALSE,1,507614.21319797,2495675.15989746,3003289.37309543
"BEL","Belgium",TRUE,1,507614.21319797,32798.6609185342,540412.874116504
"BEN","Benin",FALSE,1,507614.21319797,661010.107467257,1168624.32066523
"BFA","Burkina Faso",FALSE,1,507614.21319797,1053305.80373676,1560920.01693473
"BGD","Bangladesh",FALSE,1,507614.21319797,416245.799153838,923860.012351807
"BGR","Bulgaria",TRUE,1,507614.21319797,51931.2131210124,559545.426318982
"BHR","Bahrain",FALSE,1,507614.21319797,25707.4054065246,533321.618604494
"BHS","Bahamas",FALSE,1,507614.21319797,112698.223667188,620312.436865157
"BIH","Bosnia and Herzegovina",FALSE,1,507614.21319797,101424.962083381,609039.17528135
"BLR","Belarus",FALSE,1,507614.21319797,125330.011561801,632944.224759771
"BLZ","Belize",FALSE,1,507614.21319797,151249.52573711,658863.73893508
"BOL","Bolivia (Plurinational State of)",FALSE,1,507614.21319797,715591.14787102,1223205.36106899
"BRA","Brazil",FALSE,1,507614.21319797,3191124.58574562,3698738.79894359
"BRB","Barbados",FALSE,1,507614.21319797,38563.3265015908,546177.53969956
"BRN","Brunei Darussalam",FALSE,1,507614.21319797,53162.116649331,560776.329847301
"BTN","Bhutan",FALSE,1,507614.21319797,294238.846654252,801853.059852222
"BWA","Botswana",FALSE,1,507614.21319797,225495.84000371,733110.05320168
"CAF","Central African Republic",FALSE,1,507614.21319797,1595819.72509367,2103433.93829164
"CAN","Canada",TRUE,1,507614.21319797,276055.396064329,783669.609262299
"CHE","Switzerland",TRUE,1,507614.21319797,49197.9913778013,556812.204575771
"CHL","Chile",FALSE,1,507614.21319797,413992.103519512,921606.316717482
"CHN","China",FALSE,1,507614.21319797,2640890.9441485,3148505.15734647
"CIV","Côte d’Ivoire",FALSE,1,507614.21319797,683092.333625641,1190706.54682361
"CMR","Cameroon",FALSE,1,507614.21319797,1603509.08606516,2111123.29926313
"COD","Democratic Republic of the Congo",FALSE,1,507614.21319797,2118857.78467648,2626471.99787445
"COG","Congo",FALSE,1,507614.21319797,548855.58800978,1056469.80120775
"COK","Cook Islands",FALSE,1,507614.21319797,45466.7107611097,553080.923959079
"COL","Colombia",FALSE,1,507614.21319797,1792189.43861731,2299803.65181528
"COM","Comoros",FALSE,1,507614.21319797,496349.464232305,1003963.67743027
"CPV","Cabo Verde",FALSE,1,507614.21319797,258107.847177515,765722.060375484
"CRI","Costa Rica",FALSE,1,507614.21319797,351615.018852511,859229.232050481
"CUB","Cuba",FALSE,1,507614.21319797,287123.865663405,794738.078861374
"CYP","Cyprus",TRUE,1,507614.21319797,10932.8869728447,518547.100170814
"CZE","Czechia",TRUE,1,507614.21319797,30065.439175323,537679.652373292
"DEU","Germany",TRUE,1,507614.21319797,101129.204498814,608743.417696783
"DJI","Djibouti",FALSE,1,507614.21319797,217967.520766932,725581.733964902
"DMA","Dominica",FALSE,1,507614.21319797,87971.5485968762,595585.761794846
"DNK","Denmark",TRUE,1,507614.21319797,27332.2174321118,534946.430630081
"DOM","Dominican Republic",FALSE,1,507614.21319797,206612.135264872,714226.348462842
"DZA","Algeria",FALSE,1,507614.21319797,270212.256295478,777826.469493448
"ECU","Ecuador",FALSE,1,507614.21319797,994592.330577101,1502206.54377507
"EGY","Egypt",FALSE,1,507614.21319797,297402.953747138,805017.166945108
"ERI","Eritrea",FALSE,1,507614.21319797,87023.9040828515,594638.117280821
"ESP","Spain",TRUE,1,507614.21319797,73796.9870667019,581411.200264671
"EST","Estonia",TRUE,1,507614.21319797,32798.6609185342,540412.874116504
"ETH","Ethiopia",FALSE,1,507614.21319797,1185773.08541464,1693387.29861261
"EUU","European Union",TRUE,1,507614.21319797,0,507614.21319797
"FIN","Finland",TRUE,1,507614.21319797,57397.6566074348,565011.869805404
