"ISO_A3","country_name","is_developed","equalizer_multiplier","equalizer_allocation","formula_allocation","allocation"
"AFG","Afghanistan",FALSE,1,507614.21319797,688686.011033723,1196300.22423169
"AGO","Angola",FALSE,1,507614.21319797,733916.058261556,1241530.27145952
"ALB","Albania",FALSE,1,507614.21319797,636091.16298853,1143705.3761865
"AND","Andorra",TRUE,1,507614.21319797,3371.97022849078,510986.18342646
"ARE","United Arab Emirates",FALSE,1,507614.21319797,11925.5779547663,519539.791152736
"ARG","Argentina",FALSE,1,507614.21319797,565518.773170212,1073132.98636818
"ARM","Armenia",FALSE,1,507614.21319797,630012.635267233,1137626.8484652
"ATG","Antigua and Barbuda",FALSE,1,507614.21319797,624030.812506264,1131645.02570423
"AUS","Australia",TRUE,1,507614.21319797,337197.022849078,844811.236047047
"AUT","Austria",TRUE,1,507614.21319797,13487.8809139631,521102.094111933
"AZE","Azerbaijan",FALSE,1,507614.21319797,511559.094435315,1019173.30763328
"BDI","Burundi",FALSE,1,507614.21319797,769727.370278349,1277341.58347632
"BEL","Belgium",TRUE,1,507614.21319797,10115.9106854723,517730.123883442
"BEN","Benin",FALSE,1,507614.21319797,672868.579874074,1180482.79307204
"BFA","Burkina Faso",FALSE,1,507614.21319797,693667.287635768,1201281.50083374
"BGD","Bangladesh",FALSE,1,507614.21319797,676546.419698252,1184160.63289622
"BGR","Bulgaria",TRUE,1,507614.21319797,16016.8585853312,523631.071783301
"BHR","Bahrain",FALSE,1,507614.21319797,3107.16061043301,510721.373808403
"BHS","Bahamas",FALSE,1,507614.21319797,513096.81862914,1020711.03182711
"BIH","Bosnia and Herzegovina",FALSE,1,507614.21319797,489977.081437563,997591.294635532
"BLR","Belarus",FALSE,1,507614.21319797,495942.818014898,1003557.03121287
"BLZ","Belize",FALSE,1,507614.21319797,775256.778910829,1282870.9921088
"BOL","Bolivia (Plurinational State of)",FALSE,1,507614.21319797,654805.161102669,1162419.37430064
"BRA","Brazil",FALSE,1,507614.21319797,1204892.25363372,1712506.46683169
"BRB","Barbados",FALSE,1,507614.21319797,625393.853762853,1133008.06696082
"BRN","Brunei Darussalam",FALSE,1,507614.21319797,12863.6042406965,520477.817438666
"BTN","Bhutan",FALSE,1,507614.21319797,793384.586485553,1300998.79968352
"BWA","Botswana",FALSE,1,507614.21319797,528489.407717744,1036103.62091571
"CAF","Central African Republic",FALSE,1,507614.21319797,850519.855268158,1358134.06846613
"CAN","Canada",TRUE,1,507614.21319797,85142.2482693921,592756.461467362
"CHE","Switzerland",TRUE,1,507614.21319797,15173.8660282085,522788.079226178
"CHL","Chile",FALSE,1,507614.21319797,117001.771208853,624615.984406822
"CHN","China",FALSE,1,507614.21319797,801698.224418174,1309312.43761614
"CIV","Côte d’Ivoire",FALSE,1,507614.21319797,610323.627914588,1117937.84111256
"CMR","Cameroon",FALSE,1,507614.21319797,852335.683221005,1359949.89641897
"COD","Democratic Republic of the Congo",FALSE,1,507614.21319797,962728.490746947,1470342.70394492
"COG","Congo",FALSE,1,507614.21319797,699222.373359472,1206836.58655744
"COK","Cook Islands",FALSE,1,507614.21319797,771030.363955472,1278644.57715344
"COL","Colombia",FALSE,1,507614.21319797,902258.493496344,1409872.70669431
"COM","Comoros",FALSE,1,507614.21319797,778122.629306591,1285736.84250456
"CPV","Cabo Verde",FALSE,1,507614.21319797,794391.878014718,1302006.09121269
"CRI","Costa Rica",FALSE,1,507614.21319797,96182.6899431502,603796.90314112
"CUB","Cuba",FALSE,1,507614.21319797,467059.693650053,974673.906848022
"CYP","Cyprus",TRUE,1,507614.21319797,3371.97022849078,510986.18342646
"CZE","Czechia",TRUE,1,507614.21319797,9272.91812834964,516887.131326319
"DEU","Germany",TRUE,1,507614.21319797,31190.7246135397,538804.937811509
"DJI","Djibouti",FALSE,1,507614.21319797,628475.564896046,1136089.77809402
"DMA","Dominica",FALSE,1,507614.21319797,765500.317623446,1273114.53082142
"DNK","Denmark",TRUE,1,507614.21319797,8429.92557122694,516044.138769196
"DOM","Dominican Republic",FALSE,1,507614.21319797,526180.036130147,1033794.24932812
"DZA","Algeria",FALSE,1,507614.21319797,524753.549079451,1032367.76227742
"ECU","Ecuador",FALSE,1,507614.21319797,758863.868453823,1266478.08165179
"EGY","Egypt",FALSE,1,507614.21319797,417490.355956003,925104.569153973
"ERI","Eritrea",FALSE,1,507614.21319797,783847.620642439,1291461.83384041
"ESP","Spain",TRUE,1,507614.21319797,22760.7990423127,530375.012240282
"EST","Estonia",TRUE,1,507614.21319797,10115.9106854723,517730.123883442
"ETH","Ethiopia",FALSE,1,507614.21319797,781233.897449779,1288848.11064775
"EUU","European Union",TRUE,1,507614.21319797,0,507614.21319797
"FIN","Finland",TRUE,1,507614.21319797,17702.8436995766,525317.056897546
"FJI","Fiji",FALSE,1,507614.21319797,666779.077242921,1174393.29044089
"FRA","France",TRUE,1,507614.21319797,30347.732056417,537961.945254387
"FSM","Micronesia (Federated States of)",FALSE,1,507614.21319797,799974.550513546,1307588.76371152
"GAB","Gabon",FALSE,1,507614.21319797,550997.352928568,1058611.56612654
"GBR","United Kingdom of Great Britain and Northern Ireland",TRUE,1,507614.21319797,23603.7915994354,531218.004797405
"GEO","Georgia",FALSE,1,507614.21319797,648400.244393633,1156014.4575916
"GHA","Ghana",FALSE,1,507614.21319797,586920.526332263,1094534.73953023
"GIN","Guinea",FALSE,1,507614.21319797,686085.794216588,1193700.00741456
"GMB","Gambia",FALSE,1,507614.21319797,777152.329974896,1284766.54317287
"GNB","Guinea-Bissau",FALSE,1,507614.21319797,792097.22449854,1299711.43769651
"GNQ","Equatorial Guinea",FALSE,1,507614.21319797,641264.158169196,1148878.37136717
"GRC","Greece",TRUE,1,507614.21319797,23603.7915994354,531218.004797405
"GRD","Grenada",FALSE,1,507614.21319797,763345.987039783,1270960.20023775
"GTM","Guatemala",FALSE,1,507614.21319797,609970.553019144,1117584.76621711
"GUY","Guyana",FALSE,1,507614.21319797,527409.818652095,1035024.03185006
"HND","Honduras",FALSE,1,507614.21319797,702227.838282556,1209842.05148053
"HRV","Croatia",TRUE,1,507614.21319797,10958.903242595,518573.116440565
"HTI","Haiti",FALSE,1,507614.21319797,671629.598510939,1179243.81170891
"HUN","Hungary",TRUE,1,507614.21319797,11801.8957997177,519416.108997687
"IDN","Indonesia",FALSE,1,507614.21319797,1771970.3550719,2279584.56826987
"IND","India",FALSE,1,507614.21319797,1003919.26651182,1511533.47970979
"IRL","Ireland",TRUE,1,507614.21319797,4214.96278561347,511829.175983583
"IRN","Iran (Islamic Republic of)",FALSE,1,507614.21319797,504229.412983852,1011843.62618182
"IRQ","Iraq",FALSE,1,507614.21319797,415907.811596141,923522.02479411
"ISL","Iceland",TRUE,1,507614.21319797,1685.98511424539,509300.198312215
"ISR","Israel",TRUE,1,507614.21319797,26975.7618279262,534589.975025896
"ITA","Italy",TRUE,1,507614.21319797,46364.5906417482,553978.803839718
"JAM","Jamaica",FALSE,1,507614.21319797,654868.513449126,1162482.7266471
"JOR","Jordan",FALSE,1,507614.21319797,494298.373962808,1001912.58716078
"JPN","Japan",TRUE,1,507614.21319797,20231.8213709447,527846.034568914
"KAZ","Kazakhstan",FALSE,1,507614.21319797,436938.984743297,944553.197941267
"KEN","Kenya",FALSE,1,507614.21319797,626738.063510828,1134352.2767088
"KGZ","Kyrgyzstan",FALSE,1,507614.21319797,634729.926045422,1142344.13924339
"KHM","Cambodia",FALSE,1,507614.21319797,666630.346628835,1174244.5598268
"KIR","Kiribati",FALSE,1,507614.21319797,774397.770709354,1282011.98390732
"KNA","Saint Kitts and Nevis",FALSE,1,507614.21319797,758853.284068501,1266467.49726647
"KOR","Republic of Korea",TRUE,1,507614.21319797,4214.96278561347,511829.175983583
"KWT","Kuwait",FALSE,1,507614.21319797,6316.1212205413,513930.334418511
"LAO","Lao People's Democratic Republic",FALSE,1,507614.21319797,744760.763097707,1252374.97629568
"LBN","Lebanon",FALSE,1,507614.21319797,490341.951075367,997956.164273336
"LBR","Liberia",FALSE,1,507614.21319797,808770.71721408,1316384.93041205
"LBY","Libya",FALSE,1,507614.21319797,510265.900243595,1017880.11344157
"LCA","Saint Lucia",FALSE,1,507614.21319797,628050.53791078,1135664.75110875
"LIE","Liechtenstein",TRUE,1,507614.21319797,2528.97767136808,510143.190869338
"LKA","Sri Lanka",FALSE,1,507614.21319797,572319.386393426,1079933.5995914
"LSO","Lesotho",FALSE,1,507614.21319797,764397.065840451,1272011.27903842
"LTU","Lithuania",TRUE,1,507614.21319797,12644.8883568404,520259.10155481
"LUX","Luxembourg",TRUE,1,507614.21319797,2528.97767136808,510143.190869338
"LVA","Latvia",TRUE,1,507614.21319797,11801.8957997177,519416.108997687
"MAR","Morocco",FALSE,1,507614.21319797,518263.991850974,1025878.20504894
"MCO","Monaco",TRUE,1,507614.21319797,1685.98511424539,509300.198312215
"MDA","Republic of Moldova",FALSE,1,507614.21319797,626956.555438251,1134570.76863622
"MDG","Madagascar",FALSE,1,507614.21319797,965876.67454625,1473490.88774422
"MDV","Maldives",FALSE,1,507614.21319797,630512.233140135,1138126.4463381
"MEX","Mexico",FALSE,1,507614.21319797,1040792.75897762,1548406.97217559
"MHL","Marshall Islands",FALSE,1,507614.21319797,773086.044613558,1280700.25781153
"MKD","North Macedonia",FALSE,1,507614.21319797,635124.37218413,1142738.5853821
"MLI","Mali",FALSE,1,507614.21319797,698211.050832637,1205825.26403061
"MLT","Malta",TRUE,1,507614.21319797,842.992557122694,508457.205755092
"MMR","Myanmar",FALSE,1,507614.21319797,837265.970672061,1344880.18387003
"MNE","Montenegro",FALSE,1,507614.21319797,626617.956672884,1134232.16987085
"MNG","Mongolia",FALSE,1,507614.21319797,662328.430738967,1169942.64393694
"MOZ","Mozambique",FALSE,1,507614.21319797,721197.168676297,1228811.38187427
"MRT","Mauritania",FALSE,1,507614.21319797,638052.83591645,1145667.04911442
"MUS","Mauritius",FALSE,1,507614.21319797,642106.680329434,1149720.8935274
"MWI","Malawi",FALSE,1,507614.21319797,661121.541816139,1168735.75501411
"MYS","Malaysia",FALSE,1,507614.21319797,614674.727015375,1122288.94021334
