glottocode,path,altnames.aiatsis,altnames.elcat,altnames.ethnologue,altnames.glottolog,altnames.hhbib_lgcode,altnames.lexvo,altnames.moseley & asher (1994),altnames.multitree,altnames.ruhlen (1987),altnames.wals,altnames.wals other,classification.family,classification.familyrefs,classification.sub,classification.subrefs,core.comment,core.countries,core.hid,core.iso639-3,core.latitude,core.level,core.links,core.location,core.longitude,core.macroareas,core.name,core.name_comment,core.name_pronunciation,core.speakers,core.timespan,endangerment.comment,endangerment.date,endangerment.source,endangerment.status,hh_ethnologue_comment.comment,hh_ethnologue_comment.comment_type,hh_ethnologue_comment.ethnologue_versions,hh_ethnologue_comment.isohid,identifier.endangeredlanguages,identifier.languagelandscape,identifier.multitree,identifier.wals,iso_retirement.change_request,iso_retirement.change_to,iso_retirement.code,iso_retirement.comment,iso_retirement.effective,iso_retirement.name,iso_retirement.reason,iso_retirement.remedy,sources.glottolog,triggers.inlg,triggers.lgcode
abin1243,abin1243,,"""Baso"" | Abinomn | Avinomen | Foja | Foya",,,Aabinomin | Baso,Abinomn [en] | Abinomn language [en] | Abinomneg [br] | Lingua abinomn [gl] | Llingua Abinomn [ast],,"""Baso"" | Abinomn | Avinomen | Foja | Foya",,,,,**hh:h:SilzerClouse:Index** | **hh:hvtyp:DonohueMusgrave:Melanesia**,,,,ID,bsa,bsa,-2.92281,language,[Abinomn](https://endangeredlanguages.com/lang/1763) | https://en.wikipedia.org/wiki/Abinomn_language | https://www.wikidata.org/entity/Q56648,,138.891,Papunesia,Abinomn,,,,,"Abinomn (1763-bsa) = Critically Endangered (40 percent certain, based on the evidence available) (Speakers are shifting to the neighbouring Mander language, which also has few native speakers. The number of Foya speakers is likely to be considerably less than fifty. It has been seriously endangered before, but is now more likely to be moribund.) [Wurm 2007](cldf:wurm:07:1)",2023-07-06T16:07:13,ElCat,nearly extinct,,,,,1763,,bsa,,,,,,,,,,**cldf:hammarstroem:17** | **cldf:lewis:ed:09** | **cldf:np:nd:264** | **hh:e:Lagerberg:Moegip** | **hh:h:SilzerClouse:Index** | **hh:h:SilzerHeikkinen:Irian** | **hh:h:Sugono:Indonesia** | **hh:hv:Foley:Northwest-New-Guinea** | **hh:hvtyp:DonohueMusgrave:Melanesia** | **hh:w:Fiwei:Abinomn**,,macrohistory | moegip
abis1238,abis1238,,Abigira | Abiquira | Abishira | Agouisiri | Auishiri | Aushiri | Avirxiri | Avishiri | Avixiri | Ixignor | Tekiraka | Tequiraca | Tequraca | Vacacocha,,Abishira,Abijiras | Abishira | Ah-Vacacocha Ism. Barrio | Ah-Vacacocha Tessmann | Auischiri | Tekiraka | Vacacocha | Vacacochas,Abishira [en],,Abigira | Abiquira | Abishira | Agouisiri | Auishiri | Auishiri (tekiraka) | Avirxiri | Ixignor | Tequraca | Vacacocha,,,,,**hh:hv:Adelaar:Andes** | **hh:phon:MichaelBeier:Aiwa**,,,,PE,ash,ash,-1.284096,language,[Tequiraca](https://endangeredlanguages.com/lang/3665) | https://www.wikidata.org/entity/Q2871740 | https://en.wikipedia.org/wiki/Tequiraca_language | https://phoible.org/languages/abis1238,,-75.084405,South America,Aewa,,,,1950-01-01/1950-01-01,Tequiraca (3665-ash) = Dormant [Crevels 2012](cldf:crevels:12:3),2023-07-06T16:07:13,ElCat,extinct,,,,,3665,,ash,,,,,,,,,,**cldf:crevels:12:3** | **cldf:decultura:nd** | **cldf:ed:10** | **cldf:hammarstroem:10:2** | **cldf:lewis:paul:etal:ed:15** | **fabreall2009ann:10073** | **fabreall2009ann:7342** | **fabreall2009ann:Awshiri1** | **fabreall2009ann:Awshiri4** | **fabreall2009ann:Awshiri6** | **hh:ew:Espinosa:Tekiraka** | **hh:h:Pierre:Oriente** | **hh:h:Villarejo:Selva** | **hh:he:Kastner:Ucayali** | **hh:he:Reeve:Curaray** | **hh:he:StewardMetraux:PEMontana** | **hh:he:Villarejo:Selva** | **hh:hv:Adelaar:Andes** | **hh:hvw:Tessmann:NOPerus** | **hh:hw:Villarejo:Idiomas-Selva** | **hh:phon:MichaelBeier:Aiwa** | **hh:s:BeierMichael:Aiwa**,,avijiras | aiwa | tekiraka | tequiraca
abaz1241,abkh1242/abkh1243/abaz1241,,Abaza | Abazin | Abazintsy | Ahuwa | Ashuwa | Tapanta | абаза бызшва‎,,,Abkhazy north of the Caucasian ridge,Abasiini keel [et] | Abasinische Sprache [de] | Abasínska [is] | Abaza [en] | Abaza language [en] | Abaza lingvo [eo] | Abaza nyelv [hu] | Abazaca [tr] | Abazan kieli [fi] | Abazeg [br] | Abazijns [nl] | Abazinska [sv] | Abazinski jezik [hr] | Abazinų kalba [lt] | Abazí [ca] | Idioma abaza [es] | Język abazyński [pl] | Limba abazină [ro] | Lingua abaza [gl] | Lingua abazina [it] | Língua abaza [pt] | Абаза јазик [mk] | Абазински език [bg] | Абазинский язык [ru] | Абазинська мова [uk] | Աբազերեն [hy] | ภาษาอบาซา [th] | 아바자어 [ko],Abaza,Abaza | Abazin | Abazintsy | Ahuwa | Ashuwa | Tapanta,Abaza,Abaza,Abazin,,,**hh:hv:Hewitt:NWC**,**hh:hv:Hewitt:NWC**,,RU,abq,abq,44.25,language,[Abaza](https://endangeredlanguages.com/lang/1415) | [Abaza](https://wals.info/languoid/lect/wals_code_abz) | https://en.wikipedia.org/wiki/Abaza_language | https://www.wikidata.org/entity/Q27567,,42.0,Eurasia,Abaza,,,,,"Abaza (1415-abq) = Vulnerable (20 percent certain, based on the evidence available) (More vigorous in the Russian Federation than Turkey.) [Simons; and Fennig 2013](cldf:simons;:fennig:ed:13)",2023-07-06T16:07:15,ElCat,threatened,,,,,1415,,abq,abz,,,,,,,,,**asjp2010:4991** | **cldf:anonymous:56:2** | **cldf:ed:10** | **cldf:genko:95** | **cldf:humphreys:mits:ed:93** | **cldf:lomatidze:klychev:89** | **cldf:np:56:1** | **cldf:oherin:01** | **cldf:oherin:02** | **cldf:serdjuchenko:57** | **cldf:simons;:fennig:ed:13** | **cldf:tabulova:76** | **hh:d:Tabylov:Abazinskij** | **hh:d:Tugov:Abazinskogo** | **hh:e:HewittWatson:Abkhazians** | **hh:g:Genko:Abazinskij** | **hh:g:Serdyuchenko:Abazinskogo** | **hh:g:Tabulova:Abazinskogo** | **hh:hv:Rostambeyk:Yazd** | **hh:s:Arkadiev:Abaza** | **hh:s:Lomatidze:Ashxaruli** | **hh:s:LomtatidzeKlychev:Abaza** | **hh:s:OHerin:Abaza-Abkhaz** | **hh:sd:Zhirov:Abazinskij** | **hh:typ:Klychev:Abazinskogo** | **hh:typ:Klychev:Abazinskom** | **ldh:item_403873** | **mpieva:1956UrysvAba** | **mpieva:OHerin1995Caseanda** | **mpieva:OHerin2002Caseanda** | **sil16:35676** | **sil16:42870**,,edialekti | abazinskij | dialektta | sxva | abaza | abazinskogo | abazur | ashxaruli | shoris
abkh1244,abkh1242/abkh1243/abkh1244,,,,Abkhazian,Abchasische | Abkhaz | Abkhazian | Abxazskij | Abxazy | Abzhywa | Cwyzhy | Tapant | Tapantha,Abc'hazeg [br] | Abchaseg [cy] | Abchasische Sprache [de] | Abchazisch [nl] | Abchaziska [sv] | Abchazų kalba [lt] | Abcházština [cs] | Abhaasin kieli [fi] | Abhaski jezik [hr] | Abhaz dili [tk] | Abhazca [tr] | Abhaški jezik [sh] | Abház nyelv [hu] | Abhāzu valoda [lv] | Abkasíska [is] | Abkhasisk [no] | Abkhasisk språk [nn] | Abkhaz [ca] | Abkhaz language [en] | Abkhaze [fr] | Abkhazera [eu] | Abkhazian [en] | Abĥaza lingvo [eo] | An Abcáisis [ga] | Bahasa Abkhaz [ms] | Idioma abhasio [an] | Idioma abjasio [es] | Język abchaski [pl] | Limba abhază [ro] | Lingua abcasa [it] | Lingua abkhaza [gl] | Língua abecásia [pt] | Pinulongang Abhaso [ceb] | abkhaze [fr] | Èdè Abkhaz [yo] | Абхаз кыв [kv] | Абхаз чĕлхи [cv] | Абхазаг æвзаг [os] | Абхазки език [bg] | Абхазская мова [be] | Абхазский язык [ru] | Абхазька мова [uk] | Абхаская мова [be] | Абхаски јазик [mk] | Аҧсуа бызшәа [ab] | אבחזית [he] | زبان آبخازی [fa] | আবখাজ ভাষা [bn] | აფხაზური ენა [ka] | アブハズ語 [ja] | 阿布哈兹语 [zh] | 압하스어 [ko],Abkhaz,Abjaso | Abkhaz | Abkhaze | Abxaz | Abxazo,Abxaz,Abkhaz,,,,**hh:hv:Hewitt:NWC**,**hh:hv:Hewitt:NWC**,,GE | RU,abk,abk,43.056218,language,[Abkhaz](https://grambank.clld.org/languages/abkh1244) | [Abkhaz](https://lexibank.clld.org/languages/northeuralex-abk) | [Abkhaz](https://wals.info/languoid/lect/wals_code_abk) | https://en.wikipedia.org/wiki/Abkhaz_language | https://phoible.org/languages/abkh1244 | https://www.wikidata.org/entity/Q5111,,41.159115,Eurasia,Abkhaz,,,,,Abkhaz (1076-abk) = Vulnerable,2017-08-19T22:02:46,UNESCO,threatened,,,,,,,abk,abk,,,,,,,,,**asjp2010:2692** | **cldf:aikhenvald:w:ed:03:1** | **cldf:berg:ed:99:6** | **cldf:bybee:perkins:etal:94** | **cldf:byhan:26** | **cldf:dzhanashvili:94** | **cldf:gecadze:79** | **cldf:hewitt:87** | **cldf:kathman:93** | **cldf:kulikov:99** | **cldf:lomtatidze:96** | **cldf:lotz:56** | **cldf:luzbetak:51** | **cldf:oldenburg:ed:12:2** | **cldf:oldenburg:ed:12:3** | **cldf:ozsoy:ed:97:1** | **cldf:ozsoy:ed:97:2** | **cldf:spruyt:86** | **hh:d:Bgazhba:Abxazskogo** | **hh:d:Chirikba:Abkhaz** | **hh:d:Genko:Abxazsko** | **hh:d:Kaslandzija:Abxazskogo** | **hh:d:Sakryl:Abxazskogo** | **hh:e:Benet:Akhasians** | **hh:e:HewittWatson:Abkhazians** | **hh:g:Aristava:Abxazskogo** | **hh:g:Arstaa:Apsua** | **hh:g:Bghazhba:Abxazskogo** | **hh:g:Gvantseadze:Apxazuri** | **hh:g:Hewitt:Abkhaz** | **hh:g:Hewitt:Abkhaz:1979** | **hh:g:Hewitt:Abkhaz:2010** | **hh:g:Malherbe:Abkhaze** | **hh:g:Yakovlev:Abxazskogo** | **hh:gd:Uslar:Abxazskij** | **hh:gt:Lomtatidze:Tapantha** | **hh:gt:Yanagisawa:Abkhaz** | **hh:he:Gardanov:Kavkaza:II** | **hh:hld:Dirr:Kaukasischen** | **hh:hv:Rostambeyk:Yazd** | **hh:hvphon:Colarusso:Northwest-Caucasian** | **hh:s:Bghazhba:Abxazskogo** | **hh:s:Chirikba:Abkhaz** | **hh:s:Hewitt:Abkhaz** | **hh:s:Lomatidze:Apxazuri** | **hh:s:Lomtatidze:Abxazskij** | **hh:s:OHerin:Abaza-Abkhaz** | **hh:s:Spruit:Abkhaz** | **hh:t:Dumezil:Abkhaz** | **hh:t:Vaux:Cwyzhy** | **hh:w:Gippert:Celebi** | **ldh:item_2056324** | **mpieva:31** | **mpieva:Cikolija1969Apxazuri** | **mpieva:Gecadze1979Ocerkipo** | **mpieva:Hewitt1987Thetypol** | **mpieva:Hewitt2005Abkhazia** | **mpieva:Saqryl19861987Apsuabyz** | **mpieva:Uslar1887Abchazsk**,,abkhaz | enis | abkhazian | pakhy | sinxronno | abchazskij | abchazskogo | apxazuri | vzaimosojuznosti | abxazskogo | abxazsko | abxazskij
adyg1241,abkh1242/circ1239/adyg1241,,,,Adyghe,Abzakh | Adygejtsy | Adyghe | Circassian | Tscherkassen | Tscherkessische | Tscherkessischen,Adigea lingvo [eo] | Adigece [tr] | Adigeg [br] | Adigejski jezik [hr] | Adigué [ca] | Adygei [en] | Adygeische Sprache [de] | Adygeiska [sv] | Adygejština [cs] | Adygen kieli [fi] | Adygeyska [is] | Adyghe [en] | Adyghe language [en] | Adyguéen [fr] | Adygų kalba [lt] | An Adyghe [ga] | Język adygejski [pl] | Língua adigue [pt] | Zimanê adigeyî [ku] | adyghé [fr] | Адигейська мова [uk] | Адигејски јазик [mk] | Адыг хэлэн [bxr] | Адыгейский язык [ru] | Адыгъейаг æвзаг [os] | אדיגית [he] | لغة أديغية [ar] | আদিগে ভাষা [bn] | ภาษาอะดืยเก [th] | アディゲ語 [ja] | 阿迪格語 [zh] | 아디게어 [ko],Adygh,Abydh | Adiga | Adygei | Adygey | Adyghe | Adyguéen | Cherkes | Circassian | Kiakh | Kjax | Lower Circassian | West Circassian,Adyghe,Adyghe (Abzakh) | Adyghe (Shapsugh) | Adyghe (Temirgoy),Abzakh | Abzax | Circassian (West),,,**hh:hv:Hewitt:NWC**,**hh:hv:Hewitt:NWC**,,IL | JO | RU | SY,ady,ady,44.0,language,[Adyghe](https://lexibank.clld.org/languages/johanssonsoundsymbolic-Adyghe) | [Adyghe](https://lexibank.clld.org/languages/northeuralex-ady) | [Adyghe (Abzakh)](https://wals.info/languoid/lect/wals_code_ady) | [Adyghe (Shapsugh)](https://wals.info/languoid/lect/wals_code_ash) | [Adyghe (Temirgoy)](https://wals.info/languoid/lect/wals_code_adt) | https://en.wikipedia.org/wiki/Adyghe_language | https://phoible.org/languages/adyg1241 | https://www.wikidata.org/entity/Q27776,,39.33,Eurasia,West Circassian,,,,,Adyge (1064-ady) = Vulnerable,2017-08-19T22:02:46,UNESCO,threatened,,,,,,,ady,ady;adt;ash,,,,,,,,,**asjp2010:1933** | **cldf:kumaxov:71** | **cldf:rogava:kerasheva:66** | **cldf:rogava:zi:66** | **hh:d:Loewe:Circassian** | **hh:d:ParisBatouka:Abzakh** | **hh:d:Shaov:Adygejsko** | **hh:d:Txarkaxo:Adygejsko** | **hh:d:Vodozdokova:Adygejskij** | **hh:g:JakovlevAshkhamaf:Adygejskogo** | **hh:g:KumaxovVamling:Circassian** | **hh:g:RogavaKerasheva:Adygejskogo** | **hh:g:Smeets:West-Circassian** | **hh:he:Kosven:Kavkaza:I** | **hh:hld:Dirr:Kaukasischen** | **hh:hv:Adelungetal:Mithridates:1** | **hh:hv:Kumaxov:Adygskix** | **hh:phon:Mufti:Tscherkessischen** | **hh:s:Kumaxov:Adygejskij** | **hh:s:Paris:Abkhaz** | **hh:s:Paris:Abzakh** | **hh:s:Paris:Abzakh:PhD** | **hh:t:Paris:Chapsough** | **hh:typ:Batouka:Abzakh** | **hh:typ:Hohlig:Tscherkessischen** | **hh:w:Gippert:Celebi** | **mpieva:Hohlig1997Kontaktb** | **mpieva:Jakovlev1941Grammati** | **mpieva:Kardanov1955Uryskebe** | **mpieva:Kumachov1971Slovoizm** | **mpieva:Kumachov2006rgativno** | **mpieva:Paris19871995Dictionn** | **mpieva:Rogave1966Adygabze** | **mpieva:Smeets1976Septhist** | **sil16:18356** | **sil16:21275** | **sil16:38494** | **sil16:51198** | **sil16:51199**,,shapsugh | adyghe | tscherkessischen | adygskix | rgativnostb | adygejskogo | urys | adygskich | turkei | zor | cherkesskix | yazykiv | abzakh | sapseg
kaba1278,abkh1242/circ1239/kaba1278,,,,,Kabardintsy i Čerkesy,Idioma cabardiano [es] | Kabarde [fr] | Kabardeyce [tr] | Kabardi-tšerkessi keel [et] | Kabardian [en] | Kabardian language [en] | Kabardin kieli [fi] | Kabardinische Sprache [de] | Kabardinski jezik [hr] | Kabardinų kalba [lt] | Kabardisch [nl] | Kabardí [ca] | Kabardčina [sk] | Lingua cabarda [it] | Zimanên çerkezî [ku] | kabardien [fr] | Кæсгон-черкесаг æвзаг [os] | Кабардино-черкесский язык [ru] | Кабардински јазик [mk] | Кабардинська мова [uk] | קברדינית [he] | ภาษาคาบาร์เดีย [th] | カバルド語 [ja] | 卡巴尔达语 [zh] | 카바르디어 [ko],Kabardian,Beslenei | East Circassian | Kabarde-tcherkesse | Kabardian | Kabardino-Cherkes | Kabardo-Cherkes | Kabardái | Upper Circassian,Kabardo-Cherkessian,Kabardian,Circassian (East) | Kabardino-Cherkes,,,**hh:hv:Hewitt:NWC**,**hh:hv:Hewitt:NWC**,,RU,kbd,kbd,43.5082,language,[Kabardian](https://grambank.clld.org/languages/kaba1278) | [Kabardian](https://lexibank.clld.org/languages/joophonosemantic-Kabardian) | [Kabardian](https://wals.info/languoid/lect/wals_code_kab) | https://en.wikipedia.org/wiki/Kabardian_language | https://phoible.org/languages/kaba1278 | https://www.wikidata.org/entity/Q33522,,43.3918,Eurasia,Kabardian,,,,,Kabard-Cherkes (1065-kbd) = Vulnerable,2017-08-19T22:02:46,UNESCO,threatened,,,,,,,kbd,kab,,,,,,,,,**asjp2010:535** | **cldf:abitov:balkarov:etal:57** | **cldf:anonymous:70:1** | **cldf:castagne:29** | **cldf:kardanov:bichoev:etal:55** | **cldf:kazenin:07** | **cldf:kuipers:60** | **cldf:kumaxov:71** | **cldf:ladysenskij:29** | **cldf:ozsoy:ed:97:5** | **cldf:paris:99** | **hh:d:Apazev:Kabardino** | **hh:d:Jaimoukha:Kabardian** | **hh:d:Kardanov:Kabardinsko** | **hh:e:Colarusso:Circassians** | **hh:g:Applebaum:Kabardian** | **hh:g:Colarusso:Kabardian** | **hh:g:Jaimoukha:Kabarde** | **hh:g:Kumaxov:Kabardino** | **hh:g:Turchaninov:Kabardinskogo** | **hh:gd:Kumaxov:Kabardino** | **hh:he:Kosven:Kavkaza:I** | **hh:phon:Kuipers:Kabardian** | **hh:phon:Paris:Besney** | **hh:s:Abitov:Kabardino** | **hh:s:AlparslanDumezil:Besney** | **hh:s:Balkarov:Besleneevtsev** | **hh:s:Colarusso:Kabardian** | **hh:s:Matasovic:Kabardian** | **hh:s:Matasovic:Kabardian:2009** | **hh:s:Matasovic:Kabardinskoga** | **hh:std:Balkarov:Besleneevskogo** | **hh:typ:Jakovlev:Kabardinskogo** | **mpieva:Abitov1957Grammati** | **mpieva:Abitov1999Slovarka** | **mpieva:Colarusso2006Kabardia** | **mpieva:Kardanov1955Uryskebe** | **mpieva:Kardanov1957Keberdej** | **mpieva:Kumachov1971Slovoizm** | **mpieva:Kumachov1998Dopolnit** | **mpieva:Kumachov2006rgativno** | **mpieva:Lipkin1951Nartykab** | **sil16:12096**,,pregled | tcherkesse | rgativnostb | kabardinsko | besney | adygskich | narty | kabardinskoga | kabardian | kabardino
abun1252,abun1252,,Abun | Karon Pantai | Madik | Yimbun,,,Abun Ji | Abun Tat | Arapi | Arfoe | Jembun | Karon | Karon P. (Ac) | Karon Pantai | Karoonsch | Karón | Karôn | Madik | Yenden,Abun [en],,A Nden | Abun | Karon | Manif | Yimbun,,Abun,Yimbun,,**hh:hvtyp:Klameretal:ENusantara** | **hh:hv:Reesink:WPapuan** | **hh:hvld:BerryBerry:WPapuan**,,,,ID,kgr,kgr,-0.57073,language,[Abun](https://endangeredlanguages.com/lang/10730) | [Abun](https://grambank.clld.org/languages/abun1252) | [Abun](https://lexibank.clld.org/languages/johanssonsoundsymbolic-Abun) | [Abun](https://wals.info/languoid/lect/wals_code_abu) | https://en.wikipedia.org/wiki/Abun_language | https://www.wikidata.org/entity/Q56657,,132.416,Papunesia,Abun,,,,,"Abun (10730-kgr) = Threatened (20 percent certain, based on the evidence available) [Berry and Berry 1999](cldf:berry:berry:99)",2023-07-06T16:07:13,ElCat,shifting,,,,,10730,,kgr,abu,,,,,,,,,**cldf:hammarstroem:17** | **cldf:holton:klamer:16** | **cldf:np:15:2** | **hh:e:Ronsumbre:Abun** | **hh:ew:Bruijn:Karons** | **hh:ew:Ruys:Kannibalenstam-NNG** | **hh:ewtyp:Berry:Abun** | **hh:g:Berry:Abun** | **hh:g:Berry:Abun:Complex** | **hh:g:BerryBerry:Abun** | **hh:h:Ronsumbre:Papua-Barat** | **hh:h:Sugono:Indonesia** | **hh:hlde:deClercq:WNNNG** | **hh:hvld:BerryBerry:WPapuan** | **hh:hvw:Cowan:Ambtelijk** | **hh:hvw:Voorhoeve:Irian** | **hh:hw:Fabritius:NNG** | **hh:hw:Galis:NNG** | **hh:hw:MiedemaWelling:Kebar** | **hh:hw:SmitsVoorhoeve:Anceaux:B:II** | **hh:ld:Maturbongs:Abun** | **hh:ld:Randongkir:Abun** | **hh:ld:Walker:West-Papua** | **hh:lde:Baru:Karoon** | **hh:t:BerryBerry:Abun** | **mpieva:Berry1995Adescrip** | **sil16:37430** | **sil16:37431** | **sil16:37432** | **sil16:37433** | **sil16:38377** | **sil16:38378** | **sil16:38396** | **sil16:41676** | **sil16:44665** | **sil16:51184**,,karons | kaim | syor | utup | sunggu | abun | maskwa
awji1241,afro1255/berb1260/awji1241,,Aoudjila | Augila | Aujila | Awdjila | Awgila | Awjila | Awjilah,,Awjilah-Foqaha,Augila | Awjilah | Awjilah-Foqaha,Awdjilaeg [br] | Awjilah [en] | Awjilah jezik [hr] | Awjilah language [en] | Idioma auchila [an] | Ауджила [ru] | لغة أوجلية [ar],,Aoudjila | Augila | Aujila | Auyila | Awjila | Awjilah,,,,,,**hh:hv:Kossmann:Proto-Berbere**:31 **hh:hv:Kossmann:Arabic-Berber**:25 **hh:hv:Kossmann:Berber:2020**:284,**hh:hv:Kossmann:Proto-Berbere** | **hh:hv:Kossmann:Arabic-Berber** | **hh:hv:Kossmann:Berber:2020**,,LY,auj,auj,29.2341,language,[Awjilah](https://endangeredlanguages.com/lang/293) | [Awjilah](https://grambank.clld.org/languages/awji1241) | https://en.wikipedia.org/wiki/Awjila_language | https://www.wikidata.org/entity/Q56398,,21.1819,Africa,Awjilah,,,,,"Awjilah (293-auj) = Threatened (20 percent certain, based on the evidence available) [Brenzinger 2007](cldf:brenzinger:07:1)",2023-07-06T16:07:13,ElCat,shifting,,,,,293,,auj,,,,,,,,,,**cldf:brenzinger:07:1** | **cldf:dimmendaal:voeltz:07** | **cldf:ed:10** | **cldf:souag:12** | **eballiso2009:34719** | **eballiso2009:52001** | **hh:e:Pacho:Audjelah** | **hh:g:vanPutten:Awjila** | **hh:lde:Zanon:Augila** | **hh:t:Paradisi:Augila** | **hh:v:Brugnatelli:Siwa-Augila** | **hh:w:Pacho:Audjelah** | **hh:w:Paradisi:Augila** | **hh:w:Prasse:Aujili**,,daugila | daudjelah | maradeh | cyrenaique | marmarique | aujili | augila
ghad1239,afro1255/berb1260/ghad1239,,Ghadamès,,,Ghadamès,Ghadamès [en] | Ghadamès jezik [hr] | Ghadamès language [en] | Гхадамесский язык [ru],,Gadamés | Ghadames | Ghadamès | Ghadāmis,,,,,,**hh:hv:Kossmann:Proto-Berbere**:31 **hh:hv:Kossmann:Arabic-Berber**:25 **hh:hv:Kossmann:Berber:2020**:284,**hh:hv:Kossmann:Proto-Berbere** | **hh:hv:Kossmann:Arabic-Berber** | **hh:hv:Kossmann:Berber:2020**,,DZ | LY | TN,gha,gha,30.1168,language,[Ghadames](https://grambank.clld.org/languages/ghad1239) | [Ghadamès](https://endangeredlanguages.com/lang/291) | https://en.wikipedia.org/wiki/Ghadam%C3%A8s_language | https://www.wikidata.org/entity/Q56747,,10.0165,Africa,Ghadames,,,,,"Ghadamès (291-gha) = Threatened (20 percent certain, based on the evidence available) [Brenzinger 2007](cldf:brenzinger:07:1)",2023-07-06T16:07:13,ElCat,shifting,,,,,291,,gha,,,,,,,,,,**asjp2010:1550** | **cldf:brenzinger:07:1** | **cldf:ed:10** | **hh:e:Eldblom:Ghadames** | **hh:g:Kossmann:Ghadames** | **hh:gtd:Lanfry:Ghadames:1968-1973** | **hh:ld:Lanfry:Ghadames:1957** | **hh:s:Vycichl:Ghadames** | **hh:std:Motylinski:REdames** | **mpieva:Naumann2001Vergleic**,,berberssprachen | redames | ghadames
sawk1238,afro1255/berb1260/grea1296/siwi1238/sawk1238,,Sawkna | Sawknah | Sokna,,,Sawknah | Sokna,Sawknah [an] | Sawknah jezik [hr] | Sawknah language [en] | Сокна [ru],,Sawkna | Sawknah | Sokna,,,,,,**hh:gv:Souag:Siwa**:17-26 **hh:hv:Kossmann:Berber:2020**:284,**hh:gv:Souag:Siwa** | **hh:hv:Kossmann:Berber:2020**,,LY,swn,swn,29.16,language,[Sawknah](https://endangeredlanguages.com/lang/294) | https://en.wikipedia.org/wiki/Sokna_language | https://www.wikidata.org/entity/Q2988323,,15.9742,Africa,Sawknah-Fogaha,,,,1955-01-01/1955-01-01,Sawknah (294-swn) = Dormant [Souag 2012](cldf:souag:12),2023-07-06T16:07:13,ElCat,extinct,,,,,294,,swn,,,,,,,,,,**cldf:brenzinger:07:1** | **cldf:ed:10** | **cldf:souag:12** | **eballiso2009:26920** | **hh:hw:Stanley:Dark:II** | **hh:w:Paradisi:El-Fogaha** | **hh:w:Paradisi:El-Fogaha:II** | **hh:w:Prasse:Foqaha** | **hh:w:Prasse:Sokni** | **hh:w:Sarnelli:Sokna**,,trascrizione | caratteri | foqaha | fogaha | sokna | faha | sokni | berberofona
